enabled,year,county_norm,from_precinct_norm,current_match_method,current_top_suggested_dst_vtd20,override_src_vtdst,override_dst_vtd20,override_reason,review_status,review_notes
1,2010,MONROE,MADISONVILLE PRIMARY,tail_fuzzy_name,0000,6132,,historical source VTD name is Madisonville Primary School,approved,reviewed against 2010 source VTD catalog
1,2010,MONROE,NOTCHEY CREEK,forced_best_name,0000,6140,,historical source VTD name is Old Notchey Creek School,approved,reviewed against 2010 source VTD catalog
1,2010,MONROE,VONORE,forced_best_name,0000,6129,,historical source VTD name is Vonore Elementary School,approved,reviewed against 2010 source VTD catalog
1,2010,MONROE,VONORE CC,forced_best_name,0000,6136,,historical source VTD name is Vonore Community Center,approved,reviewed against 2010 source VTD catalog
1,2010,MAURY,BAKER 4 1,forced_best_name,0000,5768,,historical source VTD name is Baker,approved,reviewed against 2010 source VTD catalog
1,2010,MAURY,TRADEWINDS 4 2,tail_fuzzy_name,0000,5769,,historical source VTD name is Tradewinds,approved,reviewed against 2010 source VTD catalog
1,2010,MAURY,ARMORY 6 1,tail_fuzzy_name,0000,5770,,historical source VTD name is Armory,approved,reviewed against 2010 source VTD catalog
1,2010,MAURY,CP CHURCH 5 1,tail_fuzzy_name,0000,5840,,historical source VTD name is CP Church,approved,reviewed against 2010 source VTD catalog
1,2010,MAURY,CULLEOKA 8 2,tail_fuzzy_name,0000,5792,,historical source VTD name is Culleoka,approved,reviewed against 2010 source VTD catalog
1,2010,MAURY,PORTERS CHAPEL 9 3,tail_fuzzy_name,0000,5844,,historical source VTD name is Porters Chapel,approved,reviewed against 2010 source VTD catalog
1,2010,MAURY,RALLY HILL 11 1,tail_fuzzy_name,0000,5848,,historical source VTD name is Rally Hill,approved,reviewed against 2010 source VTD catalog
1,2010,MAURY,SANTA FE 6 2,tail_fuzzy_name,0000,5864,,historical source VTD name is Santa Fe,approved,reviewed against 2010 source VTD catalog
1,2010,MAURY,ST CATHERINE 7 2,tail_fuzzy_name,0000,5796,,historical source VTD name is St. Catherine,approved,reviewed against 2010 source VTD catalog
1,2012,MONROE,MADISONVILLE PRIMARY,tail_fuzzy_name,0000,6132,,historical source VTD name is Madisonville Primary School,approved,reviewed against 2010 source VTD catalog
1,2012,MONROE,NOTCHEY CREEK,forced_best_name,0000,6140,,historical source VTD name is Old Notchey Creek School,approved,reviewed against 2010 source VTD catalog
1,2012,MONROE,VONORE,forced_best_name,0000,6129,,historical source VTD name is Vonore Elementary School,approved,reviewed against 2010 source VTD catalog
1,2012,MONROE,VONORE CC,forced_best_name,0000,6136,,historical source VTD name is Vonore Community Center,approved,reviewed against 2010 source VTD catalog
1,2012,HAMILTON,167 COLLEGEDALE 3,tail_fuzzy_name,003368,3488,,historical source VTD name is 052 Collegedale 1,approved,reviewed against 2010 source VTD catalog
1,2012,HAMILTON,168 OOLTEWAH 6,tail_fuzzy_name,003443,3520,,historical source VTD name is 060 Ooltewah 1,approved,reviewed against 2010 source VTD catalog
1,2012,HAMILTON,169 OOLTEWAH 5,tail_fuzzy_name,003443,3520,,historical source VTD name is 060 Ooltewah 1,approved,reviewed against 2010 source VTD catalog
1,2012,HAMILTON,170 SNOWHILL 1,tail_fuzzy_name,003458,3528,,historical source VTD name is 062 Snowhill,approved,reviewed against 2010 source VTD catalog
1,2012,HAMILTON,179 SNOWHILL 2,tail_fuzzy_name,003458,3528,,historical source VTD name is 062 Snowhill,approved,reviewed against 2010 source VTD catalog
1,2012,HAMILTON,180 HARRISON 5,tail_fuzzy_name,003407,3512,,historical source VTD name is 058 Harrison 1,approved,reviewed against 2010 source VTD catalog
1,2012,HAMILTON,201 SUMMIT 4,tail_fuzzy_name,003441,3533,,historical source VTD name is 166 Summit 2,approved,reviewed against 2010 source VTD catalog
1,2012,HAMILTON,203 SUMMIT 3,tail_fuzzy_name,003441,3533,,historical source VTD name is 166 Summit 2,approved,reviewed against 2010 source VTD catalog
1,2012,HAMILTON,204 COLLEGEDALE 4,tail_fuzzy_name,003368,3488,,historical source VTD name is 052 Collegedale 1,approved,reviewed against 2010 source VTD catalog
1,2012,HAMILTON,205 OOLTEWAH 4,tail_fuzzy_name,003443,3520,,historical source VTD name is 060 Ooltewah 1,approved,reviewed against 2010 source VTD catalog
1,2020,HAMILTON,114 SUMMIT 3,tail_fuzzy_name,003441,3533,,historical source VTD name is 166 Summit 2,approved,reviewed against 2010 source VTD catalog
1,2020,HAMILTON,120 SNOWHILL 2,tail_fuzzy_name,003458,3528,,historical source VTD name is 062 Snowhill,approved,reviewed against 2010 source VTD catalog
1,2020,HAMILTON,123 COLLEGEDALE 4,tail_fuzzy_name,003368,3488,,historical source VTD name is 052 Collegedale 1,approved,reviewed against 2010 source VTD catalog
1,2020,HAMILTON,124 OOLTEWAH 5,tail_fuzzy_name,003443,3520,,historical source VTD name is 060 Ooltewah 1,approved,reviewed against 2010 source VTD catalog
1,2020,HAMILTON,126 HARRISON 6,tail_fuzzy_name,003407,3512,,historical source VTD name is 058 Harrison 1,approved,reviewed against 2010 source VTD catalog
1,2020,HAMILTON,128 MURRAY HILLS 2,tail_fuzzy_name,003433,3532,,historical source VTD name is 063 Summit,approved,reviewed against dominant overlap
1,2020,HAMILTON,129 DOWNTOWN 3,tail_fuzzy_name,003332,3332,,historical source VTD name is 015 Downtown,approved,reviewed against 2010 source VTD catalog
1,2020,HAMILTON,134 HARRISON 7,tail_fuzzy_name,003407,3512,,historical source VTD name is 058 Harrison 1,approved,reviewed against 2010 source VTD catalog
1,2020,MAURY,CULLEOKA 8 2,tail_fuzzy_name,0018,5312,0018,current code aligns with CULLEOKA 9 2,approved,reviewed against current low-confidence src_vtdst
1,2020,MAURY,NORTHFIELD 11 3,forced_best_name,0020,5900,0020,current code resolves uniquely,approved,reviewed against current low-confidence src_vtdst
1,2020,MAURY,RALLY HILL 11 1,tail_fuzzy_name,0015,5908,0015,current code aligns with RALLY HILL 8 1,approved,reviewed against current low-confidence src_vtdst
1,2020,MAURY,WEST END 1 2,tail_fuzzy_name,0004,5924,0004,current code aligns with WEST END 2 2,approved,reviewed against current low-confidence src_vtdst
1,2020,WASHINGTON,24 GRACE CITY,forced_best_name,0002,9320,0002,current code resolves uniquely,approved,reviewed against current low-confidence src_vtdst
1,2020,WASHINGTON,25 GRACE WEST,tail_fuzzy_name,0007,9324,0007,current code resolves uniquely,approved,reviewed against current low-confidence src_vtdst
1,2020,WASHINGTON,26 FAIRHAVEN,forced_best_name,0015,9328,0015,current code resolves uniquely,approved,reviewed against current low-confidence src_vtdst
1,2020,WASHINGTON,27 COURTHOUSE,forced_best_name,0017,9332,0017,current code resolves uniquely,approved,reviewed against current low-confidence src_vtdst
1,2020,WASHINGTON,30 NEW VICTORY,forced_best_name,0004,9344,0004,current code resolves uniquely,approved,reviewed against current low-confidence src_vtdst
1,2020,WASHINGTON,32 NEW SALEM,forced_best_name,0012,9352,0012,current code resolves uniquely,approved,reviewed against current low-confidence src_vtdst
1,2020,MCMINN,TCAT,forced_best_name,0007,6072,0007,current code resolves uniquely,approved,reviewed against current low-confidence src_vtdst
1,2020,CARROLL,HUNT POLICE STATION,forced_best_name,0012,1244,0012,current code resolves uniquely,approved,reviewed against current low-confidence src_vtdst
1,2020,HAMILTON,105 CONCORD 6,tail_fuzzy_name,0014,0014,,current code resolves uniquely after overlap,approved,reviewed against current low-confidence src_vtdst
1,2020,MAURY,CP CHURCH 5 1,tail_fuzzy_name,005957,5840,,top overlap aligns with CP CHURCH cluster,approved,reviewed against current low-confidence output
1,2020,MAURY,HIGHLAND 2 2,tail_fuzzy_name,005960,5812,,top overlap aligns with HIGHLAND current unit,approved,reviewed against current low-confidence output
1,2020,WASHINGTON,33 SOUTH CENTRAL 7,tail_fuzzy_name,009330,9392,,shared source VTD resolves to SOUTH CENTRAL current unit,approved,reviewed against current low-confidence output
1,2020,WASHINGTON,34 SOUTH CENTRAL 6,tail_fuzzy_name,009330,9392,,shared source VTD resolves to SOUTH CENTRAL current unit,approved,reviewed against current low-confidence output
1,2020,DYER,C3 ROELLEN,tail_fuzzy_name,002355,2508,,dominant overlap aligns with ROELLEN current unit,approved,reviewed against current low-confidence output
1,2020,DYER,F DYER CO CENTRAL,tail_fuzzy_name,002361,2460,,dominant overlap aligns with DYER CO CENTRAL current unit,approved,reviewed against current low-confidence output
1,2020,BLOUNT,OAK STREET,forced_best_name,000402,0480,000402,dominant overlap is effectively one-to-one to OAK STREET current unit,approved,reviewed against current low-confidence output
1,2020,LOUDON,LOUDON MT ZION,forced_best_name,0003,0003,0003,current code resolves one-to-one after transfer,approved,reviewed against current low-confidence output
1,2020,MONTGOMERY,5A SMITH,forced_best_name,0014,0014,0014,current code resolves one-to-one after transfer,approved,reviewed against current low-confidence output
1,2020,MONTGOMERY,5B MADISON,forced_best_name,0026,0026,0026,current code resolves one-to-one after transfer,approved,reviewed against current low-confidence output
1,2020,SHELBY,ARLINGTON 01,tail_fuzzy_name,008260,8512,,dominant overlap aligns with ARLINGTON 01 current unit,approved,reviewed against current low-confidence output
1,2020,SHELBY,ARLINGTON 02,tail_fuzzy_name,008261,8516,,dominant overlap aligns with ARLINGTON 02 current unit,approved,reviewed against current low-confidence output
1,2020,SHELBY,COLLIERVILLE 08,tail_fuzzy_name,008271,7433,,dominant overlap aligns with COLLIERVILLE 08 current unit,approved,reviewed against current low-confidence output
1,2020,SHELBY,FOREST HILLS 01,tail_fuzzy_name,008082,7465,,dominant overlap aligns with FOREST HILLS 01 current unit,approved,reviewed against current low-confidence output
1,2020,SHELBY,FOREST HILLS 02,tail_fuzzy_name,008083,7464,,dominant overlap aligns with FOREST HILLS 02 current unit,approved,reviewed against current low-confidence output
1,2020,SHELBY,FOREST HILLS 03,tail_fuzzy_name,008083,7464,,best available overlap aligns with FOREST HILLS current cluster,approved,reviewed against current low-confidence output
1,2020,SHELBY,ROSS 15,forced_best_name,008266,8532,,best-name match is stable against current catalog,approved,reviewed against current low-confidence output
1,2020,WEAKLEY,2A GLEASON,forced_best_name,009502,9608,,best-name match is stable against current catalog,approved,reviewed against current low-confidence output
1,2020,WEAKLEY,3A GREENFIELD,forced_best_name,009507,9628,,best-name match is stable against current catalog,approved,reviewed against current low-confidence output
1,2020,WEAKLEY,4A SHARON,forced_best_name,009506,9636,,best-name match is stable against current catalog,approved,reviewed against current low-confidence output
1,2020,WEAKLEY,5A MARTIN COC,forced_best_name,009508,9640,,best-name match is stable against current catalog,approved,reviewed against current low-confidence output
1,2020,WEAKLEY,6A TRINITY,forced_best_name,009510,9656,,best-name match is stable against current catalog,approved,reviewed against current low-confidence output
1,2020,WEAKLEY,7A MARTIN SHEPHERD S,forced_best_name,009510,9656,,best-name match is stable against current catalog,approved,reviewed against current low-confidence output
1,2020,WEAKLEY,8A MARTIN FUMC,forced_best_name,009505,9664,,best-name match is stable against current catalog,approved,reviewed against current low-confidence output
1,2020,WEAKLEY,9A DRESDEN,forced_best_name,009504,9668,,best-name match is stable against current catalog,approved,reviewed against current low-confidence output
1,2024,HAMILTON,FALLING WATER A,tail_fuzzy_name,0032,0032,,current alias row exists for Falling Water A,approved,reviewed against current alias catalog
1,2024,HAMILTON,FALLING WATER B,tail_fuzzy_name,0033,0033,,current alias row exists for Falling Water B,approved,reviewed against current alias catalog
1,2024,HAMILTON,MOWBRAY A,tail_fuzzy_name,0054,0054,,current alias row exists for Mowbray A,approved,reviewed against current alias catalog
1,2024,HAMILTON,MOWBRAY B,tail_fuzzy_name,0055,0055,,current alias row exists for Mowbray B,approved,reviewed against current alias catalog
0,2002,WASHINGTON,11I BOONES CHRISTIAN,forced_best_name,009322,,,,pending,
0,2004,WASHINGTON,11I BOONES CHRISTIAN,forced_best_name,009322,,,,pending,
0,2002,MAURY,CITY HALL,forced_best_name,005952,,,,pending,
0,2004,MAURY,CITY HALL,forced_best_name,005952,,,,pending,
0,2004,HAMILTON,X SUMMIT 2,tail_fuzzy_name,003466,,,,pending,
0,2002,HAMILTON,120 TENNESSEE RIVER,forced_best_name,003454,,,,pending,
0,2008,BEDFORD,402 LIBERTY,forced_best_name,000103,,,,pending,
0,2008,CUMBERLAND,PROPERTY OWNER,forced_best_name,001707,,,,pending,
0,2004,WASHINGTON,11W BOONES CRK WEST,forced_best_name,009322,,,,pending,
0,2000,SHELBY,105 04 COR 4,forced_best_name,008256,,,,pending,
0,2016,WEAKLEY,8A MARTIN FUMC,forced_best_name,009505,,,,pending,
0,2018,WEAKLEY,8A MARTIN FUMC,forced_best_name,009505,,,,pending,
0,2020,WEAKLEY,8A MARTIN FUMC,forced_best_name,009505,,,,pending,
0,2000,SHELBY,116 2 ROS 05,forced_best_name,008268,,,,pending,
0,2000,SHELBY,116 6 ROS 14,forced_best_name,008269,,,,pending,
0,2002,HENDERSON,ZEARLY,forced_best_name,004002,,,,pending,
0,2004,HENDERSON,ZEARLY,forced_best_name,004002,,,,pending,
0,2004,SULLIVAN,10OB OREBANK MISSION,forced_best_name,008521,,,,pending,
0,2004,BLOUNT,40 WILL BLOUNT CNTY,forced_best_name,000436,,,,pending,
0,2002,PUTNAM,10B SYCAMORE,forced_best_name,007258,,,,pending,
0,2004,PUTNAM,10B SYCAMORE,forced_best_name,007258,,,,pending,
0,2006,PUTNAM,10B SYCAMORE,forced_best_name,007258,,,,pending,
0,2008,PUTNAM,10B SYCAMORE,forced_best_name,007258,,,,pending,
0,2000,SHELBY,104 5 COL 5,forced_best_name,008072,,,,pending,
0,2002,BLOUNT,BEECH GROVE,forced_best_name,000425,,,,pending,
0,2006,BLOUNT,BEECH GROVE,forced_best_name,000425,,,,pending,
0,2008,BLOUNT,BEECH GROVE,forced_best_name,000425,,,,pending,
0,2000,DAVIDSON,PAPER VOTES,forced_best_name,001890,,,,pending,
0,2002,DAVIDSON,PAPER VOTES,forced_best_name,001890,,,,pending,
0,2004,DAVIDSON,PAPER VOTES,forced_best_name,001890,,,,pending,
0,2006,WASHINGTON,11I BOONES CRK CC IN,forced_best_name,009322,,,,pending,
0,2008,WASHINGTON,11I BOONES CRK CH IN,forced_best_name,009322,,,,pending,
0,2002,SULLIVAN,10OB OREBANK MISSI,forced_best_name,008521,,,,pending,
0,2006,BEDFORD,THOMAS SCHOOL,forced_best_name,000101,,,,pending,
0,2006,CARROLL,BETHEL COLLEGE,forced_best_name,000809,,,,pending,
0,2008,CARROLL,BETHEL COLLEGE,forced_best_name,000809,,,,pending,
0,2000,KNOX,008 012,forced_best_name,004865,,,,pending,
0,2006,SULLIVAN,11T TRADERS VILLAGE,forced_best_name,008522,,,,pending,
0,2006,SULLIVAN,17Y YWCA OF BRISTOL,forced_best_name,008501,,,,pending,
0,2008,SULLIVAN,11T TRADERS VILLAGE,forced_best_name,008522,,,,pending,
0,2008,SULLIVAN,17Y YWCA OF BRISTOL,forced_best_name,008501,,,,pending,
0,2004,HAMILTON,Z6POSTAL,forced_best_name,003386,,,,pending,
0,2000,GRUNDY,13 SWISS MEMORIA,forced_best_name,003163,,,,pending,
0,2000,SHELBY,105 05 COR 5,forced_best_name,008078,,,,pending,
0,2000,SHELBY,105 07 COR 7,forced_best_name,008252,,,,pending,
0,2000,SULLIVAN,10OB OREBANK MB,forced_best_name,008521,,,,pending,
0,2000,SHELBY,116 4 ROS 12,forced_best_name,008251,,,,pending,
0,2014,WEAKLEY,8A MARTIN FM,forced_best_name,009504,,,,pending,
0,2014,WEAKLEY,5A MARTIN COC,forced_best_name,009508,,,,pending,
0,2016,WEAKLEY,5A MARTIN COC,forced_best_name,009508,,,,pending,
0,2018,WEAKLEY,5A MARTIN COC,forced_best_name,009508,,,,pending,
0,2020,WEAKLEY,5A MARTIN COC,forced_best_name,009508,,,,pending,
0,2012,SUMNER,7A,forced_best_name,008607,,,,pending,
0,2006,LAUDERDALE,ARP 6,forced_best_name,005051,,,,pending,
0,2008,GILES,PROPERTY OWNER,forced_best_name,002851,,,,pending,
0,2008,LAUDERDALE,ARP 6,forced_best_name,005051,,,,pending,
0,2014,WEAKLEY,4A SHARON,forced_best_name,009506,,,,pending,
0,2016,WEAKLEY,4A SHARON,forced_best_name,009506,,,,pending,
0,2018,WEAKLEY,4A SHARON,forced_best_name,009506,,,,pending,
0,2020,WEAKLEY,4A SHARON,forced_best_name,009506,,,,pending,
0,2000,SHELBY,112 1 LUC 1,forced_best_name,008099,,,,pending,
0,2002,BEDFORD,16 THOMAS SCHOOL,forced_best_name,000101,,,,pending,
0,2004,BEDFORD,16 THOMAS SCHOOL,forced_best_name,000101,,,,pending,
0,2000,SHELBY,104 4 COL 4,forced_best_name,008071,,,,pending,
0,2000,SHELBY,117 STE,forced_best_name,008266,,,,pending,
0,2006,OBION,FAIL SAFE,forced_best_name,006756,,,,pending,
0,2008,MACON,RNR CAR LOT,forced_best_name,005557,,,,pending,
0,2008,OBION,FAIL SAFE,forced_best_name,006756,,,,pending,
0,2000,BRADLEY,304 SR CTR,forced_best_name,000506,,,,pending,
0,2004,SUMNER,11A HUNTER MIDDLE,forced_best_name,008622,,,,pending,
0,2006,SUMNER,11A HUNTER MIDDLE,forced_best_name,008622,,,,pending,
0,2008,SUMNER,11A HUNTER MIDDLE,forced_best_name,008622,,,,pending,
0,2002,HAMILTON,158 SATELLITE 2 NG,forced_best_name,003401,,,,pending,
0,2008,MONROE,ELECTION COMM OFFICE,forced_best_name,006363,,,,pending,
0,2000,SHELBY,105 10 COR 10,tail_fuzzy_name,008258,,,,pending,
0,2006,MACON,MACON CO JR HS,forced_best_name,005558,,,,pending,
0,2000,SHELBY,106 EAD,forced_best_name,008081,,,,pending,
0,2008,HOUSTON,NAT GUARD ARMORY,forced_best_name,004301,,,,pending,
0,2006,BLOUNT,EAGLETON MIDDLE 8TH,forced_best_name,000411,,,,pending,
0,2000,SHELBY,114 2 MIL 2,forced_best_name,008261,,,,pending,
0,2010,MONROE,TOQUA,forced_best_name,006363,,,,pending,
0,2012,MONROE,TOQUA,forced_best_name,006363,,,,pending,
0,2014,MONROE,TOQUA,forced_best_name,006363,,,,pending,
0,2004,BLOUNT,50 EAGLETON ALCOA,forced_best_name,000406,,,,pending,
0,2002,HAMILTON,155 EAST CHATT 3,forced_best_name,003390,,,,pending,
0,2010,MCMINN,CITY PARK,forced_best_name,006060,,,,pending,
0,2012,MCMINN,CITY PARK,forced_best_name,006060,,,,pending,
0,2012,WASHINGTON,25 MILLENNIUM,forced_best_name,009310,,,,pending,
0,2014,MCMINN,CITY PARK,forced_best_name,006060,,,,pending,
0,2014,WASHINGTON,25 MILLENNIUM,forced_best_name,009310,,,,pending,
0,2016,MCMINN,CITY PARK,forced_best_name,006060,,,,pending,
0,2016,WASHINGTON,25 MILLENNIUM,forced_best_name,009310,,,,pending,
0,2018,MCMINN,CITY PARK,forced_best_name,006060,,,,pending,
0,2020,MCMINN,CITY PARK,forced_best_name,006060,,,,pending,
0,2022,MCMINN,CITY PARK,forced_best_name,006060,,,,pending,
0,2010,MACON,CENTRAL ELEMENTARY,forced_best_name,005558,,,,pending,
0,2012,MACON,CENTRAL ELEMENTARY,forced_best_name,005558,,,,pending,
0,2008,MCMINN,ETOWAH CITY SCHOOL,forced_best_name,006054,,,,pending,
0,2012,LOUDON,LOUDON MT ZION,forced_best_name,005452,,,,pending,
0,2014,LOUDON,LOUDON MT ZION,forced_best_name,005452,,,,pending,
0,2016,LOUDON,LOUDON MT ZION,forced_best_name,005452,,,,pending,
0,2018,LOUDON,LOUDON MT ZION,forced_best_name,005452,,,,pending,
0,2008,SULLIVAN,2HV HOLSTON VIEW SCH,forced_best_name,008517,,,,pending,
0,2004,BLOUNT,46 MENTOR ALCOA,forced_best_name,000409,,,,pending,
0,2010,MONROE,SWEETWATER,forced_best_name,006351,,,,pending,
0,2012,MONROE,SWEETWATER,forced_best_name,006351,,,,pending,
0,2014,MONROE,SWEETWATER,forced_best_name,006351,,,,pending,
0,2002,SUMNER,04A CNTY ADMIN BLDG,tail_fuzzy_name,008611,,,,pending,
0,2004,SUMNER,04A CNTY ADMIN BLDG,tail_fuzzy_name,008611,,,,pending,
0,2010,HAYWOOD,ARMORY,forced_best_name,003915,,,,pending,
0,2000,SHELBY,105 01 COR 1,forced_best_name,008252,,,,pending,
0,2000,SHELBY,105 08 COR 8,forced_best_name,008257,,,,pending,
0,2000,SHELBY,116 1 ROS 01,forced_best_name,008266,,,,pending,
0,2000,SHELBY,116 5 ROS 13,forced_best_name,008266,,,,pending,
0,2002,HAMILTON,159 SATELLITE 3 TB,forced_best_name,003392,,,,pending,
0,2002,HAMILTON,157 SATELLITE 1 EC,forced_best_name,003420,,,,pending,
0,2002,LINCOLN,9TH GRADE ACADEMY,forced_best_name,000005,,,,pending,
0,2006,MCMINN,MT VIEW SCHOOL,forced_best_name,006057,,,,pending,
0,2008,MCMINN,MT VIEW SCHOOL,forced_best_name,006057,,,,pending,
0,2000,BLOUNT,40 WM BLOUNT,tail_fuzzy_name,000436,,,,pending,
0,2000,SHELBY,119 WOO 2,forced_best_name,008098,,,,pending,
0,2006,BEDFORD,BEDFORD FIRE HALL,forced_best_name,000105,,,,pending,
0,2006,CARROLL,MCKENZIE CITY,forced_best_name,000802,,,,pending,
0,2008,CARROLL,MCKENZIE CITY,forced_best_name,000802,,,,pending,
0,2010,MONROE,ELECTION COMM OFFICE,forced_best_name,006361,,,,pending,
0,2012,MONROE,ELECTION COMM OFFICE,forced_best_name,006361,,,,pending,
0,2012,SUMNER,10B,forced_best_name,008633,,,,pending,
0,2012,WASHINGTON,29 MIDWAY CITY,forced_best_name,009316,,,,pending,
0,2014,WASHINGTON,29 MIDWAY CITY,forced_best_name,009316,,,,pending,
0,2016,WASHINGTON,29 FAIRHAVEN INSIDE,forced_best_name,009314,,,,pending,
0,2014,STEWART,PAPER BALLOTS,forced_best_name,008402,,,,pending,
0,2016,STEWART,PAPER BALLOTS,forced_best_name,008402,,,,pending,
0,2014,MONROE,ELECTION COMMISSION,forced_best_name,006361,,,,pending,
0,2004,HAMILTON,SUMMIT 1,tail_fuzzy_name,003466,,,,pending,
0,2006,HAMILTON,166 SUMMIT 2,tail_fuzzy_name,003466,,,,pending,
0,2008,HAMILTON,166 SUMMIT 2,tail_fuzzy_name,003466,,,,pending,
0,2024,MCMINN,MCMINN HIGH,forced_best_name,006052,,,,pending,
0,2014,WEAKLEY,7A MARTIN SHEPHERD S,forced_best_name,009510,,,,pending,
0,2016,WEAKLEY,7A MARTIN SHEPHERD S,forced_best_name,009510,,,,pending,
0,2018,WEAKLEY,7A MARTIN SHEPHERD S,forced_best_name,009510,,,,pending,
0,2020,WEAKLEY,7A MARTIN SHEPHERD S,forced_best_name,009510,,,,pending,
0,2010,MONROE,TELLICO,forced_best_name,006361,,,,pending,
0,2012,MONROE,TELLICO,forced_best_name,006361,,,,pending,
0,2014,MONROE,TELLICO,forced_best_name,006361,,,,pending,
0,2006,HAYWOOD,PARKS RECREAT,forced_best_name,003901,,,,pending,
0,2008,HOUSTON,SENIOR CITIZENS BLDG,forced_best_name,004302,,,,pending,
0,2006,SULLIVAN,2HV HOLSTON VIEW,forced_best_name,008517,,,,pending,
0,2006,MACON,SALLY WELLS BLDG,forced_best_name,005555,,,,pending,
0,2008,MACON,SALLY WELLS BLDG,forced_best_name,005555,,,,pending,
0,2002,HAMILTON,160 POSTAL,forced_best_name,003386,,,,pending,
0,2002,BLOUNT,WILLIAM BLOUNT MID,tail_fuzzy_name,000436,,,,pending,
0,2006,MONROE,TOQUA CC,forced_best_name,006363,,,,pending,
0,2008,MONROE,TOQUA CC,forced_best_name,006363,,,,pending,
0,2000,BEDFORD,103 VOC SCHOOL,tail_fuzzy_name,000101,,,,pending,
0,2002,BLOUNT,ALCOA HIGH SCHOOL,tail_fuzzy_name,000408,,,,pending,
0,2000,KNOX,104 087,forced_best_name,004862,,,,pending,
0,2000,KNOX,105 091,forced_best_name,004862,,,,pending,
0,2002,WASHINGTON,ZEARLY,forced_best_name,009318,,,,pending,
0,2024,KNOX,66NE E FARRAGUT MIDDLE,tail_fuzzy_name,004805,,,,pending,
0,2024,KNOX,66NW W FARRAGUT MIDDLE,tail_fuzzy_name,004805,,,,pending,
0,2006,HAMILTON,NORTHGATE MALL,tail_fuzzy_name,003437,,,,pending,
0,2002,ROANE,CHEROKEE,forced_best_name,007451,,,,pending,
0,2006,ROANE,CHEROKEE,forced_best_name,007451,,,,pending,
0,2008,ROANE,CHEROKEE,forced_best_name,007451,,,,pending,
0,2002,LINCOLN,BOONSHILL CC,forced_best_name,000004,,,,pending,
0,2008,MONROE,NOTCHEY CREEK FD,forced_best_name,006359,,,,pending,
0,2002,HAMILTON,142 MISSION RDGE SO,tail_fuzzy_name,003426,,,,pending,
0,2002,HAMILTON,156 MISSION RDGE SO,tail_fuzzy_name,003426,,,,pending,
0,2014,WEAKLEY,9A DRESDEN,forced_best_name,009504,,,,pending,
0,2016,WEAKLEY,9A DRESDEN,forced_best_name,009504,,,,pending,
0,2018,WEAKLEY,9A DRESDEN,forced_best_name,009504,,,,pending,
0,2020,WEAKLEY,9A DRESDEN,forced_best_name,009504,,,,pending,
0,2010,MONROE,BROWN,forced_best_name,006353,,,,pending,
0,2012,MONROE,BROWN,forced_best_name,006353,,,,pending,
0,2014,MONROE,BROWN,forced_best_name,006353,,,,pending,
0,2012,WASHINGTON,33 TELFORD,forced_best_name,009327,,,,pending,
0,2014,WASHINGTON,33 TELFORD,forced_best_name,009327,,,,pending,
0,2016,WASHINGTON,33 TELFORD,forced_best_name,009327,,,,pending,
0,2006,BLOUNT,EAGLETON CAF ALCOA,forced_best_name,000406,,,,pending,
0,2008,BLOUNT,EAGLETON CAF ALCOA,forced_best_name,000406,,,,pending,
