prctseq,display_code,code4,polling_location,mentioned_codes,pdf_url,pdf_filename,override_targets,override_vtd20s,override_vtd_names,override_weights,override_source,override_confidence,status
0056,05-07,0507,Briarwood Community Church,0508;0110;0505;0507;0109;0509;0503;0504;0510;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0507.pdf,PrecinctPollingLoc_0507.pdf,0,,,,,,needs_review
0057,05-08,0508,Cordova Community Ctr,0508;0509;0507;0110;0506;0510;0505;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0508.pdf,PrecinctPollingLoc_0508.pdf,0,,,,,,needs_review
0058,05-09,0509,Bert Ferguson Community Ctr,0202;0508;0509;0504;0507;0510;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0509.pdf,PrecinctPollingLoc_0509.pdf,0,,,,,,needs_review
0059,05-10,0510,Faith Anglican Church,0202;0508;0509;0215;0201;0510;0406;0204;0507;0203;0512;0506;0505;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0510.pdf,PrecinctPollingLoc_0510.pdf,0,,,,,,needs_review
0060,05-12,0512,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0512.pdf,PrecinctPollingLoc_0512.pdf,1,008221,Memphis 81-5,1.0,shelby_geometry_review,boundary_split,resolved
0061,06-01,0601,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0601.pdf,PrecinctPollingLoc_0601.pdf,1,008096,Lakeland 1,1.0,shelby_geometry_review,core_tn08,resolved
0062,06-02,0602,Hope Apostolic Church,0306;0602;0301;0601;0604;0305;0105;0309;0302;0304;0606;0103;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0602.pdf,PrecinctPollingLoc_0602.pdf,0,,,,,,needs_review
0063,06-03,0603,Frayser Raleigh Senior Ctr,0603;0605;0703;0105;0701;0601;0606;0604;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0603.pdf,PrecinctPollingLoc_0603.pdf,0,,,,,,needs_review
0064,06-04,0604,Raleigh Community Ctr,0601;0604;0309;0606;0602;0605;0603;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0604.pdf,PrecinctPollingLoc_0604.pdf,0,,,,,,needs_review
0065,06-05,0605,Springhill Baptist Church,0603;0605;0703;0701;0704;0607;0601;0606;0608;0604;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0605.pdf,PrecinctPollingLoc_0605.pdf,0,,,,,,needs_review
