county_norm,precinct_norm,canonical_label,years_present,first_year,last_year,has_2024,prctseq_2024
ANDERSON,WEST HILLS,West Hills,2004;2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2004,2024,1,0027
ANDERSON,WOODLAND,Woodland,2004;2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2004,2024,1,0028
ANDERSON,Z ABSENTEE,z-ABSENTEE,2004,2004,2004,0,
ANDERSON,Z EARLY 1,z-EARLY 1,2004,2004,2004,0,
ANDERSON,Z EARLY 2,z-EARLY 2,2004,2004,2004,0,
BEDFORD,01 WARTRACE GYM,01 Wartrace Gym,2004,2004,2004,0,
BEDFORD,02 BELL BUCKLE FIRE,02 Bell Buckle Fire,2004,2004,2004,0,
BEDFORD,03 LONGVIEW CC,03 Longview CC,2004,2004,2004,0,
BEDFORD,04 AIRPORT,04 Airport,2004,2004,2004,0,
BEDFORD,05 ROVER BAPTIST,05 Rover Baptist,2004,2004,2004,0,
BEDFORD,06 UNIONVILLE FIRE,06 Unionville Fire,2004,2004,2004,0,
BEDFORD,07 HALLS MILL CC,07 Halls Mill CC,2004,2004,2004,0,
BEDFORD,08 LIBERTY SCHOOL,08 Liberty School,2004,2004,2004,0,
BEDFORD,09 BEDFORD FIRE HALL,09 Bedford Fire Hall,2004,2004,2004,0,
BEDFORD,1 1 WARTRACE,1-1 Wartrace,2010;2012;2014;2016;2018;2020;2022;2024,2010,2024,1,0001
BEDFORD,1 2 BELL BUCKLE,1-2 Bell Buckle,2010;2012;2014;2016;2018;2020;2022;2024,2010,2024,1,0002
BEDFORD,10 WHEEL FIRE HALL,10 Wheel Fire Hall,2004,2004,2004,0,
BEDFORD,101 WARTRACE,101 Wartrace,2008,2008,2008,0,
BEDFORD,102 BELL BUCKLE,102 Bell Buckle,2008,2008,2008,0,
BEDFORD,11 FLAT CREEK FIRE,11 Flat Creek Fire,2004,2004,2004,0,
BEDFORD,12 RAUS CC,12 Raus CC,2004,2004,2004,0,
BEDFORD,13 NORMANDY FIRE,13 Normandy Fire,2004,2004,2004,0,
BEDFORD,14 EAST SIDE SCHOOL,14 East Side School,2004,2004,2004,0,
BEDFORD,15 DEERY EAKIN SCH,15 Deery Eakin Sch,2004,2004,2004,0,
BEDFORD,16 THOMAS SCHOOL,16 Thomas School,2004,2004,2004,0,
BEDFORD,17 COURTHOUSE,17 Courthouse,2004,2004,2004,0,
BEDFORD,18 SOUTHSIDE SCHOOL,18 Southside School,2004,2004,2004,0,
BEDFORD,2 2 LONGVIEW,2-2 Longview,2010,2010,2010,0,
BEDFORD,2 3 AIRPORT,2-3 Airport,2010,2010,2010,0,
BEDFORD,2 3 DEASON,2-3 Deason,2022;2024,2022,2024,1,0003
BEDFORD,2 3 FAIR HAVEN,2-3 Fair Haven,2012;2014;2016;2018;2020,2012,2020,0,
BEDFORD,202 LONGVIEW,202 Longview,2008,2008,2008,0,
BEDFORD,203 AIRPORT,203 Airport,2008,2008,2008,0,
BEDFORD,3 1 ROVER,3-1 Rover,2010,2010,2010,0,
BEDFORD,3 3 UNIONVILLE,3-3 Unionville,2010;2012;2014;2016;2018;2020;2022;2024,2010,2024,1,0004
BEDFORD,3 4 HALLS MILL,3-4 Halls Mill,2010,2010,2010,0,
BEDFORD,301 ROVER,301 Rover,2008,2008,2008,0,
BEDFORD,303 UNIONVILLE,303 Unionville,2008,2008,2008,0,
BEDFORD,304 HALLS MILL,304 Halls Mill,2008,2008,2008,0,
BEDFORD,4 2 LIBERTY,4-2 Liberty,2010,2010,2010,0,
BEDFORD,4 3 BEDFORD,4-3 Bedford,2010;2012;2014;2016;2018;2020;2022;2024,2010,2024,1,0005
BEDFORD,4 4 WHEEL,4-4 Wheel,2010,2010,2010,0,
BEDFORD,402 LIBERTY,402 Liberty,2008,2008,2008,0,
BEDFORD,403 BEDFORD,403 Bedford,2008,2008,2008,0,
BEDFORD,404 WHEEL,404 Wheel,2008,2008,2008,0,
BEDFORD,5 2 FLAT CREEK,5-2 Flat Creek,2010;2012;2014;2016;2018;2020;2022;2024,2010,2024,1,0006
BEDFORD,5 3 RAUS,5-3 Raus,2010,2010,2010,0,
BEDFORD,5 5 NORMANDY,5-5 Normandy,2010;2012;2014;2016;2018;2020;2022;2024,2010,2024,1,0007
BEDFORD,502 FLAT CREEK,502 Flat Creek,2008,2008,2008,0,
BEDFORD,503 RAUS,503 Raus,2008,2008,2008,0,
BEDFORD,505 NORMANDY,505 Normandy,2008,2008,2008,0,
BEDFORD,6 1 EAST SIDE,6-1 East Side,2010;2012;2014;2016;2018;2020;2022;2024,2010,2024,1,0008
BEDFORD,601 EAST SIDE,601 East Side,2008,2008,2008,0,
BEDFORD,7 1 DEERY EAKIN,7-1 Deery Eakin,2010;2012;2014;2016;2018;2020;2022;2024,2010,2024,1,0009
BEDFORD,701 DEERY EAKIN,701 Deery Eakin,2008,2008,2008,0,
BEDFORD,8 1 THOMAS,8-1 Thomas,2010;2012;2014;2016;2018;2020;2022;2024,2010,2024,1,0010
BEDFORD,801 THOMAS,801 Thomas,2008,2008,2008,0,
BEDFORD,9 1 COURTHOUSE,9-1 Courthouse,2010,2010,2010,0,
BEDFORD,9 2 SOUTHSIDE,9-2 Southside,2014;2016;2018;2020;2022;2024,2014,2024,1,0011
BEDFORD,9 2 SOUTHSIDE SCHOOL,9-2 Southside School,2010;2012,2010,2012,0,
BEDFORD,901 COURTHOUSE,901 Courthouse,2008,2008,2008,0,
BEDFORD,902 SOUTHSIDE SCHOOL,902 Southside School,2008,2008,2008,0,
BEDFORD,ABSENTEE,ABSENTEE,2004;2006;2008;2010;2012,2004,2012,0,
BEDFORD,AIRPORT,Airport,2006,2006,2006,0,
BEDFORD,BEDFORD FIRE HALL,Bedford Fire Hall,2006,2006,2006,0,
BEDFORD,BELL BUCKLE FIRE,Bell Buckle Fire,2006,2006,2006,0,
BEDFORD,COURTHOUSE,Courthouse,2006,2006,2006,0,
BEDFORD,DEERY EAKIN SCH,Deery Eakin Sch,2006,2006,2006,0,
BEDFORD,EARLY,EARLY,2004,2004,2004,0,
BEDFORD,EARLY VOTING WRITE INS,Early Voting - Write-Ins,2016,2016,2016,0,
BEDFORD,EAST SIDE SCHOOL,East Side School,2006,2006,2006,0,
BEDFORD,FLAT CREEK FIRE,Flat Creek Fire,2006,2006,2006,0,
BEDFORD,HALLS MILL CC,Halls Mill CC,2006,2006,2006,0,
BEDFORD,LIBERTY SCHOOL,Liberty School,2006,2006,2006,0,
BEDFORD,LONGVIEW CC,Longview CC,2006,2006,2006,0,
BEDFORD,NORMANDY FIRE HALL,Normandy Fire Hall,2006,2006,2006,0,
BEDFORD,RAUS CC,Raus CC,2006,2006,2006,0,
BEDFORD,ROVER BAPTIST,Rover Baptist,2006,2006,2006,0,
BEDFORD,SOUTHSIDE SCHOOL,Southside School,2006,2006,2006,0,
BEDFORD,THOMAS SCHOOL,Thomas School,2006,2006,2006,0,
BEDFORD,UNIONVILLE FIRE,Unionville Fire,2006,2006,2006,0,
BEDFORD,WARTRACE GYM,Wartrace Gym,2006,2006,2006,0,
BEDFORD,WHEEL FIRE HALL,Wheel Fire Hall,2006,2006,2006,0,
BENTON,1 HOLLADAY,1 Holladay,2014;2016;2018;2020;2022;2024,2014,2024,1,0001
BENTON,1 HOLLADAY SCHOOL,1 Holladay School,2004;2006;2008;2010;2012,2004,2012,0,
BENTON,2 CAMDEN HIGH SCHOOL,2 Camden High School,2004;2006,2004,2006,0,
BENTON,2 CAMDEN JR HIGH,2 Camden Jr High,2008;2010;2012;2014;2016;2018;2020;2022;2024,2008,2024,1,0002
BENTON,3 BENTON CO COURT,3 Benton Co. Court,2004,2004,2004,0,
BENTON,3 CAMDEN CITY HALL,3 Camden City Hall,2016;2018;2020;2022;2024,2016,2024,1,0003
BENTON,3 COUNTY COURTHOUSE,3 County Courthouse,2006;2008;2010;2012,2006,2012,0,
BENTON,3 COURTHOUSE,3 Courthouse,2014,2014,2014,0,
BENTON,4 CAMDEN ELEMENTARY,4 Camden Elementary,2004;2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2004,2024,1,0004
BENTON,5 BENTON CO COURT,5 Benton Co. Court,2004,2004,2004,0,
BENTON,5 COUNTY COURTHOUSE,5 County Courthouse,2006;2008;2010;2012,2006,2012,0,
BENTON,5 COURTHOUSE,5 Courthouse,2014,2014,2014,0,
BENTON,5 LIBRARY,5 Library,2016;2018;2020;2022;2024,2016,2024,1,0005
BENTON,6 BIG SANDY,6 Big Sandy,2014;2016;2018;2020;2022;2024,2014,2024,1,0006
BENTON,6 BIG SANDY SCHOOL,6 Big Sandy School,2004;2006;2008;2010;2012,2004,2012,0,
BENTON,ABSENTEE,ABSENTEE,2004,2004,2004,0,
BENTON,EARLY,EARLY,2004,2004,2004,0,
BLEDSOE,1 1 DILL,1-1 Dill,2004;2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2004,2024,1,0001
BLEDSOE,1 2 GRIFFITH,1-2 Griffith,2004;2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2004,2024,1,0002
BLEDSOE,1 3 MT CREST,1-3 Mt. Crest,2004;2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2004,2024,1,0003
BLEDSOE,2 1 COLD SPRINGS,2-1 Cold Springs,2004;2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2004,2024,1,0004
BLEDSOE,2 2 LUMINARY,2-2 Luminary,2004;2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2004,2024,1,0005
BLEDSOE,3 1 BRAYTON,3-1 Brayton,2004;2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2004,2024,1,0006
BLEDSOE,3 2 RIGSBY,3-2 Rigsby,2004;2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2004,2024,1,0007
BLEDSOE,4 1 PIKEVILLE,4-1 Pikeville,2012;2014;2016;2018;2020;2022;2024,2012,2024,1,0008
BLEDSOE,4 1 PIKEVILLE A K,4-1 Pikeville A-K,2006;2008;2010,2006,2010,0,
BLEDSOE,4 1 PIKEVILLE OUT,4-1 Pikeville Out,2004,2004,2004,0,
BLEDSOE,4 2 PIKEVILLE IN,4-2 Pikeville In,2004,2004,2004,0,
BLEDSOE,4 2 PIKEVILLE L Z,4-2 Pikeville L-Z,2006;2008;2010,2006,2010,0,
BLEDSOE,5 1 BELLVIEW,5-1 Bellview,2004;2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2004,2024,1,0009
BLEDSOE,5 2 NINE MILE,5-2 Nine Mile,2004;2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2004,2024,1,0010
BLEDSOE,6 1 LEE STATION,6-1 Lee Station,2004;2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2004,2024,1,0011
BLEDSOE,6 2 LUSK,6-2 Lusk,2004;2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2004,2024,1,0012
BLEDSOE,6 3 SUNNYSIDE,6-3 Sunnyside,2004;2006;2008;2010,2004,2010,0,
BLEDSOE,6 4 BRAYTON 6,6-4 Brayton 6,2004;2006;2008;2010,2004,2010,0,
BLEDSOE,ABSENTEE,ABSENTEE,2004,2004,2004,0,
BLEDSOE,EARLY,EARLY,2004,2004,2004,0,
BLOUNT,01 ALCOA,01 Alcoa,2004,2004,2004,0,
BLOUNT,02 MARTIN L KING,02 Martin L King,2004,2004,2004,0,
BLOUNT,03 BIG SPRINGS,03 Big Springs,2004,2004,2004,0,
BLOUNT,04 WILL BLOUNT MID,04 Will Blount Mid,2004,2004,2004,0,
BLOUNT,05 PELLISSIPPI,05 Pellissippi,2004,2004,2004,0,
BLOUNT,06 BEECH GROVE,06 Beech Grove,2004,2004,2004,0,
BLOUNT,07 CHILHOWEE VIEW,07 Chilhowee View,2004,2004,2004,0,
BLOUNT,08 EAGLETON 20TH,08 Eagleton 20th,2004,2004,2004,0,
BLOUNT,09 EAGLETON 8TH,09 Eagleton 8th,2004,2004,2004,0,
BLOUNT,10 EAGLETON CAF,"10 Eagleton Caf,",2004,2004,2004,0,
BLOUNT,11 EVERETT,11 Everett,2004,2004,2004,0,
BLOUNT,12 ROCKFORD 20TH,12 Rockford 20th,2004,2004,2004,0,
BLOUNT,13 FAIRVIEW COUNTY,13 Fairview County,2004,2004,2004,0,
BLOUNT,14 FRIENDSVILLE CNTY,14 Friendsville Cnty,2004,2004,2004,0,
BLOUNT,15 FRIENDSVILLE CITY,15 Friendsville City,2004,2004,2004,0,
BLOUNT,16 HAPPY VALLEY,16 Happy Valley,2004,2004,2004,0,
BLOUNT,17 CARPENTERS,17 Carpenters,2004,2004,2004,0,
BLOUNT,18 HERITAGE,18 Heritage,2004,2004,2004,0,
BLOUNT,19 JOHN SEVIER,19 John Sevier,2004,2004,2004,0,
BLOUNT,20 LANIER,20 Lanier,2004,2004,2004,0,
BLOUNT,21 LOUISVILLE 20TH,21 Louisville 20th,2004,2004,2004,0,
BLOUNT,22 MARYVILLE COLLEGE,22 Maryville College,2004,2004,2004,0,
BLOUNT,23 MARYVILLE HS,23 Maryville HS,2004,2004,2004,0,
BLOUNT,24 MARYVILLE MID SCH,24 Maryville Mid Sch,2004,2004,2004,0,
BLOUNT,25 MARYVILLE CITY,25 Maryville City,2004,2004,2004,0,
BLOUNT,26 MENTOR,26 Mentor,2004,2004,2004,0,
BLOUNT,27 MISER STATION,27 Miser Station,2004,2004,2004,0,
BLOUNT,28 MONTVALE,28 Montvale,2004,2004,2004,0,
BLOUNT,29 MIDDLESETTLEMENTS,29 Middlesettlements,2004,2004,2004,0,
BLOUNT,30 OAK VIEW,30 Oak View,2004,2004,2004,0,
BLOUNT,31 PORTER,31 Porter,2004,2004,2004,0,
BLOUNT,32 ROCKFORD COUNTY,32 Rockford County,2004,2004,2004,0,
BLOUNT,33 ROCKFORD CITY,33 Rockford City,2004,2004,2004,0,
BLOUNT,34 SHOOKS GAP,34 Shooks Gap,2004,2004,2004,0,
BLOUNT,35 TOWNSEND COUNTY,35 Townsend County,2004,2004,2004,0,
BLOUNT,36 TOWNSEND CITY,36 Townsend City,2004,2004,2004,0,
BLOUNT,37 BOARD ED CNTY,37 Board Ed Cnty,2004,2004,2004,0,
BLOUNT,38 BOARD ED CITY,38 Board Ed City,2004,2004,2004,0,
BLOUNT,39 WALLAND,39 Walland,2004,2004,2004,0,
BLOUNT,40 WILL BLOUNT CNTY,40 Will Blount Cnty,2004,2004,2004,0,
BLOUNT,41 MARYVILLE COUNTY,41 Maryville County,2004,2004,2004,0,
BLOUNT,42 WILL BLOUNT CITY,42 Will Blount City,2004,2004,2004,0,
BLOUNT,43 FAIRVIEW CITY,43 Fairview City,2004,2004,2004,0,
BLOUNT,44 ALCOA ROCKFORD,44 Alcoa Rockford,2004,2004,2004,0,
BLOUNT,45 BEECH GROVE ALCOA,45 Beech Grove Alcoa,2004,2004,2004,0,
BLOUNT,46 MENTOR ALCOA,46 Mentor Alcoa,2004,2004,2004,0,
BLOUNT,47 PELLISSIPPI ALCOA,47 Pellissippi Alcoa,2004,2004,2004,0,
BLOUNT,48 PELLISSIPPI MARY,48 Pellissippi Mary,2004,2004,2004,0,
BLOUNT,49 ROCKFORD ALCOA,49 Rockford Alcoa,2004,2004,2004,0,
BLOUNT,50 EAGLETON ALCOA,50 Eagleton Alcoa,2004,2004,2004,0,
BLOUNT,51 LOUISVILLE 8TH,51 Louisville 8th,2004,2004,2004,0,
BLOUNT,ALCOA,Alcoa,2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2006,2024,1,0001
BLOUNT,ALCOA ROCKFORD,Alcoa-Rockford,2006;2008,2006,2008,0,
BLOUNT,BEECH GROVE,Beech Grove,2006;2008;2010;2012;2014;2016;2018,2006,2018,0,
BLOUNT,BEECH GROVE ALCOA,Beech Grove-Alcoa,2006;2008,2006,2008,0,
BLOUNT,BIG SPRINGS,Big Springs,2006;2008;2010;2012;2014;2016;2018;2020,2006,2020,0,
BLOUNT,BOARD ED CITY,Board Ed-City,2006;2008,2006,2008,0,
BLOUNT,BOARD ED COUNTY,Board Ed-County,2006;2008,2006,2008,0,
BLOUNT,BOARD OF EDUCATION,Board of Education,2010;2012;2014;2016;2018;2020;2022;2024,2010,2024,1,0002
BLOUNT,CARPENTERS,Carpenters,2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2006,2024,1,0003
BLOUNT,CHILHOWEE VIEW,Chilhowee View,2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2006,2024,1,0004
BLOUNT,EAGLE GYM 20TH ALCOA,Eagle Gym 20th-Alcoa,2008,2008,2008,0,
BLOUNT,EAGLETON CAF,Eagleton Café,2008,2008,2008,0,
BLOUNT,EAGLETON CAF ALCOA,Eagleton Café-Alcoa,2006;2008,2006,2008,0,
BLOUNT,EAGLETON GYM 20TH,Eagleton Gym 20th,2008,2008,2008,0,
BLOUNT,EAGLETON GYM 8TH,Eagleton Gym 8th,2008,2008,2008,0,
BLOUNT,EAGLETON MIDDLE 20TH,Eagleton Middle 20th,2006,2006,2006,0,
BLOUNT,EAGLETON MIDDLE 8TH,Eagleton Middle 8th,2006,2006,2006,0,
BLOUNT,EAGLETON MIDDLE CAF,Eagleton Middle Café,2006,2006,2006,0,
BLOUNT,EAGLETON MS CAF,Eagleton MS Café,2010;2012;2014,2010,2014,0,
BLOUNT,EAGLETON MS CAFETERIA,Eagleton MS Cafeteria,2016;2018;2020;2022;2024,2016,2024,1,0005
BLOUNT,EAGLETON MS GYM,Eagleton MS Gym,2010;2012;2014,2010,2014,0,
BLOUNT,EVERETT,Everett,2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2006,2024,1,0006
BLOUNT,FAIRVIEW,Fairview,2010;2012;2014;2016;2018;2020;2022;2024,2010,2024,1,0007
BLOUNT,FAIRVIEW CITY,Fairview-City,2006;2008,2006,2008,0,
BLOUNT,FAIRVIEW COUNTY,Fairview-County,2006;2008,2006,2008,0,
BLOUNT,FRIENDSVILLE,Friendsville,2010;2012;2014;2016;2018;2020;2022;2024,2010,2024,1,0008
BLOUNT,FRIENDSVILLE CITY,Friendsville-City,2006;2008,2006,2008,0,
BLOUNT,FRIENDSVILLE CNTY,Friendsville-Cnty,2006,2006,2006,0,
BLOUNT,FRIENDSVILLE COUNTY,Friendsville-County,2008,2008,2008,0,
BLOUNT,HAPPY VALLEY,Happy Valley,2006;2008;2010;2012;2014;2016;2018,2006,2018,0,
BLOUNT,HERITAGE,Heritage,2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2006,2024,1,0009
BLOUNT,JOHN SEVIER,John Sevier,2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2006,2024,1,0010
BLOUNT,LANIER,Lanier,2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2006,2024,1,0011
BLOUNT,LOUISVILLE,Louisville,2008;2012;2014;2016;2018;2020;2022;2024,2008,2024,1,0012
BLOUNT,LOUISVILLE 20TH,Louisville 20th,2006,2006,2006,0,
BLOUNT,LOUISVILLE 8TH,Louisville 8th,2006;2008,2006,2008,0,
BLOUNT,LOUISVILLE CITY,Louisville-City,2010,2010,2010,0,
BLOUNT,MARTIN LUTHER KING,Martin Luther King,2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2006,2024,1,0013
BLOUNT,MARYVILLE CITY,Maryville-City,2006,2006,2006,0,
BLOUNT,MARYVILLE COLLEGE,Maryville College,2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2006,2024,1,0014
BLOUNT,MARYVILLE COUNTY,Maryville-County,2006,2006,2006,0,
BLOUNT,MARYVILLE HS,Maryville HS,2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2006,2024,1,0015
BLOUNT,MARYVILLE JR HIGH,Maryville Jr High,2014;2016;2018;2020;2022;2024,2014,2024,1,0016
BLOUNT,MARYVILLE MIDDLE,Maryville Middle,2006;2008;2010;2012,2006,2012,0,
BLOUNT,MARYVILLE MUN CITY,Maryville Mun.-City,2008,2008,2008,0,
BLOUNT,MARYVILLE MUN COUNTY,Maryville Mun-County,2008,2008,2008,0,
BLOUNT,MARYVILLE MUNICIPAL,Maryville Municipal,2010;2012;2014;2016;2018;2020;2022;2024,2010,2024,1,0017
BLOUNT,MENTOR,Mentor,2006;2008;2010;2012;2014;2016;2018;2020,2006,2020,0,
BLOUNT,MENTOR ALCOA,Mentor-Alcoa,2006;2008,2006,2008,0,
BLOUNT,MIDDLESETTLEMENTS,Middlesettlements,2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2006,2024,1,0018
BLOUNT,MISER STATION,Miser Station,2006;2008;2010;2012;2014;2016,2006,2016,0,
BLOUNT,MONTVALE,Montvale,2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2006,2024,1,0019
BLOUNT,OAK STREET,Oak Street,2012;2014;2016;2018;2020,2012,2020,0,
BLOUNT,OAK VIEW,Oak View,2006;2008;2010;2012;2014,2006,2014,0,
BLOUNT,OAKVIEW,Oakview,2016;2018;2020;2022,2016,2022,0,
BLOUNT,OAKVIEW AT HHS,Oakview at HHS,2024,2024,2024,1,0020
BLOUNT,PELLISSIPPI,Pellissippi,2006;2008;2010,2006,2010,0,
BLOUNT,PELLISSIPPI ALCOA,Pellissippi-Alcoa,2006;2008,2006,2008,0,
BLOUNT,PELLISSIPPI CAMPUS,Pellissippi Campus,2012;2014;2016;2018;2020;2022;2024,2012,2024,1,0021
BLOUNT,PELLISSIPPI MARYVILL,Pellissippi-Maryvill,2008,2008,2008,0,
BLOUNT,PELLISSIPPIMARYVILLE,PellissippiMaryville,2006,2006,2006,0,
BLOUNT,PORTER,Porter,2006;2008;2010;2012;2014;2016;2018;2020;2022;2024,2006,2024,1,0022
BLOUNT,PROSPECT,Prospect,2016;2018;2020;2022;2024,2016,2024,1,0023
BLOUNT,ROCKFORD,Rockford,2010;2012;2014;2016;2018;2020;2022;2024,2010,2024,1,0024
BLOUNT,ROCKFORD 20TH,Rockford 20th,2006;2008,2006,2008,0,
BLOUNT,ROCKFORD ALCOA,Rockford-Alcoa,2006;2008,2006,2008,0,
BLOUNT,ROCKFORD CITY,Rockford-City,2006;2008,2006,2008,0,
BLOUNT,ROCKFORD COUNTY,Rockford-County,2006;2008,2006,2008,0,
BLOUNT,SHOOKS GAP,Shooks Gap,2006;2008;2010;2012;2014,2006,2014,0,
BLOUNT,TOWNSEND,Townsend,2010;2012;2014;2016;2018;2020;2022;2024,2010,2024,1,0025
BLOUNT,TOWNSEND CITY,Townsend-City,2006;2008,2006,2008,0,
BLOUNT,TOWNSEND COUNTY,Townsend-County,2006;2008,2006,2008,0,
BLOUNT,W BLOUNT HS COUNTY,W Blount HS - County,2008,2008,2008,0,
BLOUNT,WALLAND,Walland,2006;2008;2010;2012;2014;2016;2018;2020;2022,2006,2022,0,
BLOUNT,WILLIAM BLOUNT HS,William Blount HS,2010;2012;2014;2016;2018;2020;2022;2024,2010,2024,1,0026
BLOUNT,WM BLOUNT ACADEMY,Wm Blount Academy,2008;2010;2012;2014;2016;2018;2020;2022;2024,2008,2024,1,0027
BLOUNT,WM BLOUNT HIGH CITY,Wm Blount High-City,2006,2006,2006,0,
BLOUNT,WM BLOUNT HIGH CNTY,Wm Blount High-Cnty,2006,2006,2006,0,
BLOUNT,WM BLOUNT HS CITY,Wm Blount HS - City,2008,2008,2008,0,
BLOUNT,WM BLOUNT MIDDLE,Wm Blount Middle,2006,2006,2006,0,
