county_fp,county_norm,prctseq,vtd20,vtd_name,weight,source,confidence
037,DAVIDSON,160,001946,32-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,161,001947,32-4,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,162,001948,33-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,163,001949,33-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,164,001950,33-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,165,001951,33-4,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,168,001953,34-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,169,001954,34-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,170,001955,34-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,171,001956,34-4,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,172,001957,34-5,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,174,001958,35-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,175,001959,35-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,176,001960,35-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,177,001961,35-4,1.0,davidson_current_label_exact,exact_name
157,SHELBY,1,008051,ARL-01,1.0,shelby_geometry_review,core_tn08
157,SHELBY,2,008052,ARL-02,1.0,shelby_geometry_review,core_tn08
157,SHELBY,3,008054,Bartlett 03,1.0,shelby_geometry_review,core_tn08
157,SHELBY,4,008055,Bartlett 04,1.0,shelby_geometry_review,core_tn08
157,SHELBY,5,008056,Bartlett 05,1.0,shelby_geometry_review,core_tn08
157,SHELBY,6,008057,Bartlett 06,1.0,shelby_geometry_review,core_tn08
157,SHELBY,7,008065,Brunswick 1,1.0,shelby_geometry_review,core_tn08
157,SHELBY,8,008058,Bartlett 08,1.0,shelby_geometry_review,core_tn08
157,SHELBY,9,008053,Bartlett 09,1.0,shelby_geometry_review,core_tn08
157,SHELBY,10,008068,Collierville 1,1.0,shelby_geometry_review,sliver_only
157,SHELBY,11,008060,Bartlett 11,1.0,shelby_geometry_review,core_tn08
157,SHELBY,12,008061,Memphis 87-2,1.0,shelby_geometry_review,boundary_split
157,SHELBY,13,008066,Brunswick 2,1.0,shelby_geometry_review,core_tn08
157,SHELBY,14,008069,Collierville 2,1.0,shelby_geometry_review,sliver_only
157,SHELBY,15,008064,Memphis 87-4,1.0,shelby_geometry_review,core_tn08
157,SHELBY,16,008072,Collierville 5,1.0,shelby_geometry_review,boundary_split
157,SHELBY,17,008073,Collierville 6,1.0,shelby_geometry_review,core_tn08
157,SHELBY,19,008075,Collierville 8,1.0,shelby_geometry_review,core_tn08
157,SHELBY,20,008079,Memphis 96-2,1.0,shelby_geometry_review,core_tn08
157,SHELBY,22,008086,Germantown 02,1.0,shelby_geometry_review,core_tn08
157,SHELBY,23,008095,Germantown 12,1.0,shelby_geometry_review,core_tn08
157,SHELBY,24,008063,Bartlett 13,1.0,shelby_geometry_review,core_tn08
157,SHELBY,25,008097,Lakeland 2,1.0,shelby_geometry_review,core_tn08
157,SHELBY,27,008070,Collierville 3,1.0,shelby_geometry_review,core_tn08
157,SHELBY,28,008076,Cordova 3,1.0,shelby_geometry_review,core_tn08
157,SHELBY,30,008071,Collierville 4,1.0,shelby_geometry_review,core_tn08
157,SHELBY,31,008078,Cordova 5,1.0,shelby_geometry_review,core_tn08
157,SHELBY,32,008087,Germantown 03,1.0,shelby_geometry_review,core_tn08
157,SHELBY,33,008099,Lucy 3,1.0,shelby_geometry_review,core_tn08
157,SHELBY,34,008091,Germantown 08,1.0,shelby_geometry_review,core_tn08
157,SHELBY,36,008093,Germantown 10,1.0,shelby_geometry_review,core_tn08
157,SHELBY,37,008094,Germantown 11,1.0,shelby_geometry_review,core_tn08
157,SHELBY,38,008077,Cordova 4,1.0,shelby_geometry_review,core_tn08
157,SHELBY,39,008080,Memphis 91-4,1.0,shelby_geometry_review,core_tn08
157,SHELBY,40,008088,Germantown 04,1.0,shelby_geometry_review,core_tn08
157,SHELBY,42,008089,Germantown 05,1.0,shelby_geometry_review,core_tn08
157,SHELBY,43,008090,Germantown 06,1.0,shelby_geometry_review,core_tn08
157,SHELBY,44,008139,Memphis 45-4,1.0,shelby_geometry_review,sliver_only
157,SHELBY,45,008159,Memphis 58-4,1.0,shelby_geometry_review,boundary_split
157,SHELBY,47,008187,Memphis 71-4,1.0,shelby_geometry_review,sliver_only
157,SHELBY,50,008082,Forest Hills 1,1.0,shelby_geometry_review,boundary_split
157,SHELBY,53,008136,Memphis 44-5,1.0,shelby_geometry_review,core_tn08
157,SHELBY,60,008221,Memphis 81-5,1.0,shelby_geometry_review,boundary_split
157,SHELBY,61,008096,Lakeland 1,1.0,shelby_geometry_review,core_tn08
157,SHELBY,69,008256,Memphis 95-6,1.0,shelby_geometry_review,core_tn08
157,SHELBY,70,008098,Lucy 1,1.0,shelby_geometry_review,boundary_split
157,SHELBY,75,008222,Memphis 81-7,1.0,shelby_geometry_review,boundary_split
157,SHELBY,78,008257,Memphis 95-7,1.0,shelby_geometry_review,core_tn08
157,SHELBY,79,008146,Memphis 52-1,1.0,shelby_geometry_review,sliver_only
157,SHELBY,82,008178,Memphis 67-3,1.0,shelby_geometry_review,core_tn08
157,SHELBY,84,008255,Memphis 95-5,1.0,shelby_geometry_review,core_tn08
157,SHELBY,85,008258,Memphis 95-8,1.0,shelby_geometry_review,core_tn08
157,SHELBY,86,008154,Memphis 55-2,1.0,shelby_geometry_review,core_tn08
157,SHELBY,87,008157,Memphis 57,1.0,shelby_geometry_review,core_tn08
157,SHELBY,88,008271,Collierville 9,1.0,shelby_geometry_review,boundary_split
157,SHELBY,89,008158,Memphis 58-1,1.0,shelby_geometry_review,sliver_only
157,SHELBY,91,008141,Memphis 46-2,1.0,shelby_geometry_review,boundary_split
157,SHELBY,94,008180,Memphis 68-3,1.0,shelby_geometry_review,core_tn08
157,SHELBY,95,008234,Memphis 88-4,1.0,shelby_geometry_review,sliver_only
157,SHELBY,97,008149,Memphis 53-1,1.0,shelby_geometry_review,boundary_split
157,SHELBY,99,008152,Memphis 54,1.0,shelby_geometry_review,core_tn08
157,SHELBY,100,008172,Memphis 62-0,1.0,shelby_geometry_review,sliver_only
157,SHELBY,101,008174,Memphis 64,1.0,shelby_geometry_review,core_tn08
157,SHELBY,102,008176,Memphis 66,1.0,shelby_geometry_review,core_tn08
