district,total_population,total_vap,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
45,53691,53691,85.54,8.5,3.16,0.12,1.3,0,0.08
46,60758,60758,85.48,8.14,2.81,0.05,1.34,0,0.15
47,55377,55377,90.54,3.28,3.12,0.04,0.88,0,0.15
48,63080,63080,74.55,14.59,5,0.17,2.34,0,0.21
49,47388,47388,66.19,18.92,6.38,0.13,4.27,0,0.66
50,61898,61898,73.85,15.07,5.25,0.04,2.9,0,0.32
51,69787,69787,68.66,20.47,6.28,0.02,1.55,0,0.2
52,44689,44689,52.64,36.35,6.87,0.06,1.13,0,0.43
53,58318,58318,59.87,24.07,8.45,0.07,4.14,0,0.58
54,45576,45576,37.59,54.44,2.94,0.12,1.3,0,0.33
55,38635,38635,44.66,35.11,11.44,0.14,5.28,0,0.74
56,43271,43271,83.86,7,2.94,0.06,4.13,0,0.16
57,51678,51678,85.89,6.78,3.5,0.03,1.68,0,0.24
58,43521,43521,44.17,46.19,4.1,0.11,1.59,0,0.41
59,55315,55315,84.06,7.26,4.21,0.21,2.24,0,0.1
60,50944,50944,69.52,20.73,5.31,0.04,1.65,0,0.25
61,49321,49321,88.08,3.07,3.59,0.03,2.79,0,0.43
62,55433,55433,84.62,7.93,4.35,0.08,0.34,0,0.12
63,57015,57015,85.79,3.99,3.1,0.11,5.14,0,0.21
64,56691,56691,81.08,10.18,4.92,0.17,1.07,0,0.19
65,51562,51562,88,4.84,4.32,0.03,0.67,0,0.45
66,54895,54895,86.13,7.68,4.01,0.05,0.61,0,0.12
67,55235,55235,58.43,25.88,10.27,0.14,1.33,0,0.6
68,57258,57258,76.67,12.42,4.65,0.13,2.55,0,0.34
69,53030,53030,91.54,3.15,2.56,0.24,0.28,0,0.44
70,55927,55927,90.82,4.39,2.03,0.05,0.48,0,0.04
71,52973,52973,87.27,7.83,2.39,0.09,0.2,0,0.16
72,58310,58310,91.31,4.4,1.78,0.29,0.07,0,0.08
73,56451,56451,67.14,26.58,2.39,0.12,0.97,0,0.16
74,54352,54352,93.36,1.95,1.49,0.09,0.5,0,0.15
75,51324,51324,57.47,23.94,10.43,0.3,2.79,0,0.84
76,53634,53634,86.63,8.29,2.18,0.32,0.69,0,0.08
77,51994,51994,81.32,13.91,1.99,0.18,0.43,0,0.18
78,51825,51825,91.38,2.91,3.02,0.17,0.23,0,0.5
79,42780,42780,82.61,11.98,2.11,0.34,0.14,0,0.27
80,42198,42198,44.73,49.41,1.95,0.24,0.53,0,0.13
81,55982,55982,71.66,22.52,2.64,0.15,0.35,0,0.22
82,53540,53540,73.82,20.11,2.27,0.35,0.4,0,0.2
83,43893,43893,70.77,21.05,2.73,0.03,3.17,0,0.11
84,48140,48140,7.91,85.84,5.1,0.03,0.29,0,0.12
85,49060,49060,12.2,81.47,2.54,0.1,2.59,0,0.13
86,53315,53315,29.22,64.88,1.79,0.07,1.55,0,0.56
87,46989,46989,11.91,82.4,3.51,0.06,0.81,0,0.31
88,58509,58509,27.87,66.89,2.75,0.01,0.86,0,0.25
89,50087,50087,88.97,3.66,2.98,0.07,1.59,0,0.42
90,43955,43955,80.83,11.41,3.41,0.06,1.44,0,0.21
91,54627,54627,24.89,70.48,2.05,0.14,1.16,0,0.13
92,51407,51407,88.03,3.41,4.58,0.1,0.85,0,0.14
93,47111,47111,30.53,61.46,5.26,0.13,0.86,0,0.17
94,56160,56160,76.19,19.07,1.65,0.15,0.35,0,0.1
95,45095,45095,78.18,12.92,1.84,0.01,5.2,0,0.07
96,64501,64501,31.66,57.87,3.92,0.11,2.97,0,0.95
97,52692,52692,71.86,17.85,5.56,0.08,2.8,0,0.2
98,28281,28281,24.33,69.06,3.46,0.03,1.06,0,0.07
99,53650,53650,73.82,18.23,3.43,0.06,3.08,0,0.22
