level,state,statefp,county_name,countyfp,geoid,pop_base_2020,pop_2020,pop_2021,pop_2022,pop_2023,pop_2024,pop_2025,pct_state_pop_base_2020,pct_state_pop_2020,pct_state_pop_2021,pct_state_pop_2022,pct_state_pop_2023,pct_state_pop_2024,pct_state_pop_2025
county,Tennessee,47,Dickson,043,47043,54316,54452,55189,55777,56882,57804,58662,0.7858,0.786,0.7922,0.7897,0.7952,0.7972,0.8019
county,Tennessee,47,Dyer,045,47045,36799,36710,36621,36415,36495,36484,36320,0.5324,0.5299,0.5257,0.5156,0.5102,0.5031,0.4965
county,Tennessee,47,Fayette,047,47047,41717,41868,42610,43294,44130,44542,45071,0.6035,0.6044,0.6116,0.6129,0.6169,0.6143,0.6161
county,Tennessee,47,Fentress,049,47049,18487,18533,18839,19318,19651,20021,20322,0.2675,0.2675,0.2704,0.2735,0.2747,0.2761,0.2778
county,Tennessee,47,Franklin,051,47051,42767,42842,43197,44166,44724,45191,45579,0.6187,0.6184,0.6201,0.6253,0.6252,0.6232,0.6231
county,Tennessee,47,Gibson,053,47053,50409,50443,50499,50891,51245,51645,51779,0.7293,0.7281,0.7249,0.7205,0.7164,0.7122,0.7078
county,Tennessee,47,Giles,055,47055,30345,30346,30428,30572,30879,31016,31433,0.439,0.438,0.4368,0.4328,0.4317,0.4277,0.4297
county,Tennessee,47,Grainger,057,47057,23532,23572,23794,24208,24713,25098,25739,0.3404,0.3403,0.3415,0.3427,0.3455,0.3461,0.3519
county,Tennessee,47,Greene,059,47059,70153,70339,70582,71286,72518,73345,73831,1.0149,1.0153,1.0131,1.0092,1.0138,1.0115,1.0093
county,Tennessee,47,Grundy,061,47061,13526,13541,13577,13787,13954,14118,14116,0.1957,0.1955,0.1949,0.1952,0.1951,0.1947,0.193
county,Tennessee,47,Hamblen,063,47063,64507,64553,64390,65303,66582,68177,68843,0.9332,0.9318,0.9243,0.9245,0.9308,0.9402,0.9411
county,Tennessee,47,Hamilton,065,47065,366840,367886,369725,375738,381087,387268,390833,5.307,5.3103,5.307,5.3196,5.3276,5.3407,5.3428
county,Tennessee,47,Hancock,067,47067,6661,6628,6791,6839,6974,7046,7075,0.0964,0.0957,0.0975,0.0968,0.0975,0.0972,0.0967
county,Tennessee,47,Hardeman,069,47069,25460,25435,25259,25483,25555,25527,25274,0.3683,0.3671,0.3626,0.3608,0.3573,0.352,0.3455
county,Tennessee,47,Hardin,071,47071,26968,26948,26977,27215,27433,27672,27983,0.3901,0.389,0.3872,0.3853,0.3835,0.3816,0.3825
county,Tennessee,47,Hawkins,073,47073,56718,56715,57200,57919,58587,59422,59559,0.8205,0.8187,0.8211,0.82,0.8191,0.8195,0.8142
county,Tennessee,47,Haywood,075,47075,17864,17827,17666,17468,17377,17211,17042,0.2584,0.2573,0.2536,0.2473,0.2429,0.2374,0.233
county,Tennessee,47,Henderson,077,47077,27844,27833,27918,27912,28083,28229,28518,0.4028,0.4018,0.4007,0.3952,0.3926,0.3893,0.3899
county,Tennessee,47,Henry,079,47079,32197,32149,32252,32328,32504,32920,32896,0.4658,0.4641,0.4629,0.4577,0.4544,0.454,0.4497
county,Tennessee,47,Hickman,081,47081,24910,24972,25080,25466,25794,25913,26219,0.3604,0.3605,0.36,0.3605,0.3606,0.3574,0.3584
county,Tennessee,47,Houston,083,47083,8273,8295,8298,8232,8391,8525,8479,0.1197,0.1197,0.1191,0.1165,0.1173,0.1176,0.1159
county,Tennessee,47,Humphreys,085,47085,18989,18998,19179,19039,19286,19542,19646,0.2747,0.2742,0.2753,0.2695,0.2696,0.2695,0.2686
county,Tennessee,47,Jackson,087,47087,11620,11637,11771,12019,12355,12447,12466,0.1681,0.168,0.169,0.1702,0.1727,0.1717,0.1704
county,Tennessee,47,Jefferson,089,47089,54666,54897,55535,56695,57849,59217,60024,0.7908,0.7924,0.7972,0.8027,0.8087,0.8166,0.8206
county,Tennessee,47,Johnson,091,47091,17944,17985,18042,18005,18325,18522,18718,0.2596,0.2596,0.259,0.2549,0.2562,0.2554,0.2559
county,Tennessee,47,Knox,093,47093,478925,480472,486009,495827,501589,507597,511453,6.9286,6.9355,6.9762,7.0197,7.0123,7.0001,6.9918
county,Tennessee,47,Lake,095,47095,7001,6988,6569,6479,6385,6339,6249,0.1013,0.1009,0.0943,0.0917,0.0893,0.0874,0.0854
county,Tennessee,47,Lauderdale,097,47097,25139,25115,24860,24690,24504,24540,24617,0.3637,0.3625,0.3568,0.3496,0.3426,0.3384,0.3365
county,Tennessee,47,Lawrence,099,47099,44158,44185,44783,45480,46091,46644,46914,0.6388,0.6378,0.6428,0.6439,0.6444,0.6433,0.6413
county,Tennessee,47,Lewis,101,47101,12586,12609,12854,12935,13126,13354,13487,0.1821,0.182,0.1845,0.1831,0.1835,0.1842,0.1844
county,Tennessee,47,Lincoln,103,47103,35322,35332,35441,35984,36157,36715,36853,0.511,0.51,0.5087,0.5094,0.5055,0.5063,0.5038
county,Tennessee,47,Loudon,105,47105,54889,55144,56833,58286,60699,62642,63764,0.7941,0.796,0.8158,0.8252,0.8486,0.8639,0.8717
county,Tennessee,47,McMinn,107,47107,53272,53347,53940,54732,55814,56732,57404,0.7707,0.77,0.7743,0.7749,0.7803,0.7824,0.7847
county,Tennessee,47,McNairy,109,47109,25868,25868,25858,25968,26066,26137,26236,0.3742,0.3734,0.3712,0.3676,0.3644,0.3604,0.3587
county,Tennessee,47,Macon,111,47111,25212,25260,25670,26222,26868,27292,27663,0.3647,0.3646,0.3685,0.3712,0.3756,0.3764,0.3782
county,Tennessee,47,Madison,113,47113,98831,98832,98591,99283,99518,100267,100790,1.4298,1.4266,1.4152,1.4056,1.3913,1.3827,1.3778
county,Tennessee,47,Marion,115,47115,28841,28874,28923,29061,29393,29761,29804,0.4172,0.4168,0.4152,0.4114,0.4109,0.4104,0.4074
county,Tennessee,47,Marshall,117,47117,34318,34467,35050,35857,37048,37882,38071,0.4965,0.4975,0.5031,0.5077,0.5179,0.5224,0.5204
county,Tennessee,47,Maury,119,47119,100957,101812,105005,108048,111022,114456,118131,1.4605,1.4696,1.5072,1.5297,1.5521,1.5784,1.6149
county,Tennessee,47,Meigs,121,47121,12756,12808,13030,13268,13695,13990,14186,0.1845,0.1849,0.187,0.1878,0.1915,0.1929,0.1939
county,Tennessee,47,Monroe,123,47123,46249,46399,46665,47719,48601,49338,49730,0.6691,0.6698,0.6698,0.6756,0.6794,0.6804,0.6798
county,Tennessee,47,Montgomery,125,47125,220012,221286,227781,235141,240192,246281,249935,3.1829,3.1942,3.2696,3.329,3.3579,3.3964,3.4167
county,Tennessee,47,Moore,127,47127,6467,6472,6654,6726,6802,6822,6920,0.0936,0.0934,0.0955,0.0952,0.0951,0.0941,0.0946
county,Tennessee,47,Morgan,129,47129,21037,21051,21137,21184,21542,22075,22160,0.3043,0.3039,0.3034,0.2999,0.3012,0.3044,0.3029
county,Tennessee,47,Obion,131,47131,30795,30779,30467,30360,30402,30256,30067,0.4455,0.4443,0.4373,0.4298,0.425,0.4172,0.411
county,Tennessee,47,Overton,133,47133,22510,22590,22828,22974,23352,23582,23787,0.3257,0.3261,0.3277,0.3253,0.3265,0.3252,0.3252
county,Tennessee,47,Perry,135,47135,8384,8383,8496,8692,8927,8986,9126,0.1213,0.121,0.122,0.1231,0.1248,0.1239,0.1248
county,Tennessee,47,Pickett,137,47137,5005,5002,5073,5106,5129,5146,5219,0.0724,0.0722,0.0728,0.0723,0.0717,0.071,0.0713
county,Tennessee,47,Polk,139,47139,17536,17558,17704,17776,18064,18408,18592,0.2537,0.2534,0.2541,0.2517,0.2525,0.2539,0.2542
county,Tennessee,47,Putnam,141,47141,79874,80101,81281,82590,83902,85011,86612,1.1555,1.1562,1.1667,1.1693,1.173,1.1724,1.184
county,Tennessee,47,Rhea,143,47143,33235,33302,33508,33999,34264,34716,34844,0.4808,0.4807,0.481,0.4813,0.479,0.4788,0.4763
county,Tennessee,47,Roane,145,47145,53544,53666,54165,55279,56218,56769,57395,0.7746,0.7747,0.7775,0.7826,0.7859,0.7829,0.7846
county,Tennessee,47,Robertson,147,47147,72809,72958,74047,75402,76948,78830,80175,1.0533,1.0531,1.0629,1.0675,1.0757,1.0871,1.096
county,Tennessee,47,Rutherford,149,47149,341482,343285,351202,362373,370483,380086,386352,4.9402,4.9552,5.0412,5.1303,5.1794,5.2416,5.2816
county,Tennessee,47,Scott,151,47151,21852,21880,21904,22038,22253,22553,22671,0.3161,0.3158,0.3144,0.312,0.3111,0.311,0.3099
county,Tennessee,47,Sequatchie,153,47153,15826,15848,16447,16917,17168,17609,17861,0.229,0.2288,0.2361,0.2395,0.24,0.2428,0.2442
county,Tennessee,47,Sevier,155,47155,98677,98848,99625,99362,100410,101224,101342,1.4276,1.4268,1.43,1.4067,1.4037,1.3959,1.3854
county,Tennessee,47,Shelby,157,47157,930012,929720,923315,919092,915501,915438,910226,13.4544,13.4203,13.2533,13.0122,12.7988,12.6245,12.4432
county,Tennessee,47,Smith,159,47159,19906,19963,20175,20471,20538,20785,20981,0.288,0.2882,0.2896,0.2898,0.2871,0.2866,0.2868
county,Tennessee,47,Stewart,161,47161,13656,13708,13820,14011,14269,14373,14439,0.1976,0.1979,0.1984,0.1984,0.1995,0.1982,0.1974
county,Tennessee,47,Sullivan,163,47163,158146,158238,159250,160899,161953,162709,163759,2.2879,2.2841,2.2859,2.2779,2.2641,2.2439,2.2387
county,Tennessee,47,Sumner,165,47165,196289,197416,200578,204002,208501,212181,215538,2.8397,2.8496,2.8791,2.8882,2.9149,2.9261,2.9465
county,Tennessee,47,Tipton,167,47167,60976,61050,61083,61606,61957,62306,62287,0.8821,0.8812,0.8768,0.8722,0.8662,0.8592,0.8515
county,Tennessee,47,Trousdale,169,47169,11606,11646,11621,12089,12327,12189,12623,0.1679,0.1681,0.1668,0.1712,0.1723,0.1681,0.1726
county,Tennessee,47,Unicoi,171,47171,17911,17873,17617,17607,17823,17925,17856,0.2591,0.258,0.2529,0.2493,0.2492,0.2472,0.2441
county,Tennessee,47,Union,173,47173,19807,19847,20020,20483,20760,21136,21450,0.2865,0.2865,0.2874,0.29,0.2902,0.2915,0.2932
county,Tennessee,47,Van Buren,175,47175,6168,6174,6297,6457,6576,6683,6874,0.0892,0.0891,0.0904,0.0914,0.0919,0.0922,0.094
county,Tennessee,47,Warren,177,47177,40953,41057,41478,41978,42615,43544,43717,0.5925,0.5926,0.5954,0.5943,0.5958,0.6005,0.5976
county,Tennessee,47,Washington,179,47179,132999,133211,133461,136273,138454,139574,141199,1.9241,1.9229,1.9157,1.9293,1.9356,1.9248,1.9302
county,Tennessee,47,Wayne,181,47181,16229,16220,16331,16254,16050,16034,16416,0.2348,0.2341,0.2344,0.2301,0.2244,0.2211,0.2244
county,Tennessee,47,Weakley,183,47183,32908,32908,32905,33052,33167,33216,33261,0.4761,0.475,0.4723,0.4679,0.4637,0.4581,0.4547
county,Tennessee,47,White,185,47185,27351,27441,27559,28016,28715,29227,29612,0.3957,0.3961,0.3956,0.3966,0.4014,0.4031,0.4048
county,Tennessee,47,Williamson,187,47187,247790,249614,256192,261335,264898,268486,272061,3.5848,3.6031,3.6774,3.6999,3.7033,3.7026,3.7192
county,Tennessee,47,Wilson,189,47189,147745,148654,152095,158979,164275,170340,175033,2.1374,2.1458,2.1832,2.2508,2.2966,2.3491,2.3928
