contest_type,year,district_num,uncalibrated_dem,calibrated_dem,dem_delta_uncal_minus_cal,uncalibrated_rep,calibrated_rep,rep_delta_uncal_minus_cal,uncalibrated_total,calibrated_total,total_delta_uncal_minus_cal
us_senate,2006,4,85145.0,85144.0,1.0,79768.0,79767.0,1.0,167644.0,167642.0,2.0
us_senate,2006,5,130221.0,91465.0,38756.0,83936.0,88138.0,-4202.0,216704.0,182172.0,34532.0
us_senate,2006,6,103826.0,101787.0,2039.0,91349.0,88394.0,2955.0,198358.0,193284.0,5074.0
us_senate,2006,7,94467.0,85397.0,9070.0,92867.0,79857.0,13010.0,190138.0,167759.0,22379.0
us_senate,2006,8,70966.0,68573.0,2393.0,77219.0,75195.0,2024.0,149710.0,145255.0,4455.0
us_senate,2006,9,100690.0,86611.0,14079.0,75367.0,92666.0,-17299.0,178023.0,181869.0,-3846.0
us_senate,2008,3,78291.0,77451.0,840.0,196292.0,193483.0,2809.0,281656.0,277895.0,3761.0
us_senate,2008,5,113829.0,87488.0,26341.0,155888.0,182732.0,-26844.0,279493.0,278922.0,571.0
us_senate,2008,6,88450.0,87451.0,999.0,155353.0,152135.0,3218.0,254253.0,249877.0,4376.0
us_senate,2008,7,82359.0,76757.0,5602.0,154362.0,137546.0,16816.0,245794.0,222423.0,23371.0
us_senate,2008,8,84441.0,82702.0,1739.0,200657.0,198920.0,1737.0,292215.0,288672.0,3543.0
us_senate,2008,9,115314.0,80991.0,34323.0,157056.0,178881.0,-21825.0,280949.0,268745.0,12204.0
us_senate,2012,3,67921.0,67628.0,293.0,194115.0,192192.0,1923.0,272216.0,269911.0,2305.0
us_senate,2012,5,108798.0,80944.0,27854.0,141606.0,180289.0,-38683.0,264258.0,272937.0,-8679.0
us_senate,2012,6,75659.0,75146.0,513.0,156221.0,154195.0,2026.0,246658.0,243994.0,2664.0
us_senate,2012,7,75112.0,70484.0,4628.0,161238.0,143868.0,17370.0,249281.0,226291.0,22990.0
us_senate,2012,9,110452.0,73807.0,36645.0,143719.0,176482.0,-32763.0,264881.0,261323.0,3558.0
us_senate,2014,3,44649.0,44018.0,631.0,111394.0,109238.0,2156.0,164097.0,161138.0,2959.0
us_senate,2014,5,57637.0,47753.0,9884.0,80598.0,102532.0,-21934.0,148260.0,160762.0,-12502.0
us_senate,2014,7,52754.0,52688.0,66.0,89259.0,89021.0,238.0,151516.0,151193.0,323.0
us_senate,2014,9,56831.0,44731.0,12100.0,79670.0,100102.0,-20432.0,144068.0,154948.0,-10880.0
us_senate,2018,3,104150.0,103864.0,286.0,154370.0,153972.0,398.0,262241.0,261540.0,701.0
us_senate,2018,5,118020.0,104125.0,13895.0,117751.0,146158.0,-28407.0,239039.0,253873.0,-14834.0
us_senate,2018,9,117691.0,99098.0,18593.0,119356.0,145211.0,-25855.0,239846.0,247671.0,-7825.0
us_senate,2020,5,127156.0,108164.0,18992.0,178816.0,215836.0,-37020.0,314865.0,332287.0,-17422.0
us_senate,2020,8,129516.0,122953.0,6563.0,199873.0,206436.0,-6563.0,336235.0,336235.0,0.0
us_senate,2020,9,130970.0,103727.0,27243.0,177614.0,217084.0,-39470.0,316472.0,328784.0,-12312.0
us_senate,2024,5,117763.0,110505.0,7258.0,198346.0,213272.0,-14926.0,323299.0,330744.0,-7445.0
us_senate,2024,8,113428.0,108521.0,4907.0,168675.0,174309.0,-5634.0,288345.0,289104.0,-759.0
us_senate,2024,9,121210.0,107203.0,14007.0,203633.0,219245.0,-15612.0,332134.0,333557.0,-1423.0
