audit_label,scope,lines_year,contest_type,year,district,has_allocated_result,has_reference_result,calc_dem_votes,ref_dem_votes,dem_delta,calc_rep_votes,ref_rep_votes,rep_delta,calc_other_votes,ref_other_votes,other_delta,calc_total_votes,ref_total_votes,total_delta,abs_total_delta,total_delta_pct_of_ref,calc_margin_pct,ref_margin_pct,margin_pct_delta,abs_margin_pct_delta
state_senate_2022,state_senate,2022,president,2024,11,True,True,44495.3839,32856.0,11639.3839,62970.8788,48437.0,14533.8788,1672.8527,1238.0,434.8527,109139.1153,82531.0,26608.1153,26608.1153,32.2401,16.9284,18.879,-1.9506,1.9506
state_senate_2022,state_senate,2022,us_senate,2024,19,True,True,42121.8971,32601.0,9520.8971,15774.423,11189.0,4585.423,1231.7258,958.0,273.7258,59128.0458,44748.0,14380.0458,14380.0458,32.1356,-44.56,-47.8502,3.2902,3.2902
state_senate_2022,state_senate,2022,president,2020,20,True,True,56141.1765,83993.0,-27851.8235,43558.8929,62446.0,-18887.1071,2886.6749,3817.0,-930.3251,102586.7443,150256.0,-47669.2557,47669.2557,-31.7254,-12.265,-14.3402,2.0752,2.0752
state_house_2022,state_house,2022,us_senate,2024,88,True,True,13328.2234,14839.0,-1510.7766,11360.8452,6339.0,5021.8452,604.3443,656.0,-51.6557,25293.4129,21834.0,3459.4129,3459.4129,15.8442,-7.7782,-38.9301,31.1519,31.1519
state_house_2022,state_house,2022,president,2024,88,True,True,14133.1491,15761.0,-1627.8509,11177.1349,6266.0,4911.1349,480.2164,423.0,57.2164,25790.5005,22450.0,3340.5005,3340.5005,14.8797,-11.4616,-42.294,30.8323,30.8323
state_house_2022,state_house,2022,us_senate,2024,51,True,True,18114.2509,24968.0,-6853.7491,6527.282,10667.0,-4139.718,544.968,753.0,-208.032,25186.5009,36388.0,-11201.4991,11201.4991,-30.7835,-46.0047,-39.3014,-6.7033,6.7033
congressional_2026,congressional,2026,governor,2022,5,True,True,51006.5787,86139.0,-35132.4213,106569.6287,140958.0,-34388.3713,3621.9431,5504.0,-1882.0569,161198.1505,232601.0,-71402.8495,71402.8495,-30.6976,34.4688,23.5678,10.901,10.901
state_house_2022,state_house,2022,us_senate,2024,91,True,True,16261.0672,15742.0,519.0672,7397.6794,2889.0,4508.6794,768.8154,598.0,170.8154,24427.562,19229.0,5198.562,5198.562,27.035,-36.2844,-66.8417,30.5574,30.5574
state_house_2022,state_house,2022,president,2024,51,True,True,18324.7531,24938.0,-6613.2469,6721.285,11134.0,-4412.715,604.7403,787.0,-182.2597,25650.7784,36859.0,-11208.2216,11208.2216,-30.4084,-45.2363,-37.4508,-7.7855,7.7855
state_senate_2022,state_senate,2022,president,2020,30,True,True,49454.0747,69601.0,-20146.9253,16570.3041,24260.0,-7689.6959,1153.2059,1575.0,-421.7941,67177.5848,95436.0,-28258.4152,28258.4152,-29.6098,-48.9505,-47.5093,-1.4412,1.4412
state_house_2022,state_house,2022,president,2024,54,True,True,15120.6284,22254.0,-7133.3716,4177.8123,5095.0,-917.1877,389.9917,542.0,-152.0083,19688.4325,27891.0,-8202.5675,8202.5675,-29.4094,-55.5799,-61.5216,5.9417,5.9417
