precinct_key,county_norm,prec_id,current_2022_district,new_2026_district,dominant_district_changed,current_2022_dominant_weight,new_2026_dominant_weight,current_2022_split_count,new_2026_split_count
BLOUNT - 000410,BLOUNT,000410,2,2,0,1.0,1.0,1,1
BLOUNT - 000411,BLOUNT,000411,2,2,0,1.0,1.0,1,1
BLOUNT - 000412,BLOUNT,000412,2,2,0,1.0,1.0,1,1
BLOUNT - 000413,BLOUNT,000413,2,2,0,1.0,1.0,1,1
BLOUNT - 000414,BLOUNT,000414,2,2,0,1.0,1.0,1,1
BLOUNT - 000415,BLOUNT,000415,2,2,0,1.0,1.0,1,1
BLOUNT - 000416,BLOUNT,000416,2,2,0,1.0,1.0,1,1
BLOUNT - 000417,BLOUNT,000417,2,2,0,1.0,1.0,1,1
BLOUNT - 000418,BLOUNT,000418,2,2,0,0.999325333,0.999232959,2,2
BLOUNT - 000419,BLOUNT,000419,2,2,0,1.0,1.0,1,1
BLOUNT - 000420,BLOUNT,000420,2,2,0,1.0,1.0,1,1
BLOUNT - 000421,BLOUNT,000421,2,2,0,1.0,1.0,1,1
BLOUNT - 000423,BLOUNT,000423,2,2,0,1.0,1.0,1,1
BLOUNT - 000424,BLOUNT,000424,2,2,0,1.0,1.0,1,1
BLOUNT - 000425,BLOUNT,000425,2,2,0,1.0,1.0,1,1
BLOUNT - 000426,BLOUNT,000426,2,2,0,0.9997005263,0.9996885669,2,2
BLOUNT - 000427,BLOUNT,000427,2,2,0,1.0,1.0,1,1
BLOUNT - 000429,BLOUNT,000429,2,2,0,1.0,1.0,1,1
BLOUNT - 000430,BLOUNT,000430,2,2,0,1.0,1.0,1,1
BLOUNT - 000431,BLOUNT,000431,2,2,0,1.0,1.0,1,1
BLOUNT - 000432,BLOUNT,000432,2,2,0,1.0,1.0,1,1
BLOUNT - 000433,BLOUNT,000433,2,2,0,1.0,1.0,1,1
BLOUNT - 000434,BLOUNT,000434,2,2,0,1.0,1.0,1,1
BLOUNT - 000435,BLOUNT,000435,2,2,0,1.0,1.0,1,1
BLOUNT - 000436,BLOUNT,000436,2,2,0,1.0,1.0,1,1
BRADLEY - 000501,BRADLEY,000501,3,3,0,1.0,1.0,1,1
BRADLEY - 000502,BRADLEY,000502,3,3,0,1.0,1.0,1,1
BRADLEY - 000503,BRADLEY,000503,3,3,0,1.0,1.0,1,1
BRADLEY - 000504,BRADLEY,000504,3,3,0,1.0,1.0,1,1
BRADLEY - 000505,BRADLEY,000505,3,3,0,1.0,1.0,1,1
BRADLEY - 000506,BRADLEY,000506,3,3,0,1.0,1.0,1,1
BRADLEY - 000507,BRADLEY,000507,3,3,0,1.0,1.0,1,1
BRADLEY - 000508,BRADLEY,000508,3,3,0,1.0,1.0,1,1
BRADLEY - 000509,BRADLEY,000509,3,3,0,1.0,1.0,1,1
BRADLEY - 000510,BRADLEY,000510,3,3,0,1.0,1.0,1,1
BRADLEY - 000511,BRADLEY,000511,3,3,0,0.9999663044,0.9999054447,1,1
BRADLEY - 000512,BRADLEY,000512,3,3,0,1.0,1.0,1,1
BRADLEY - 000513,BRADLEY,000513,3,3,0,1.0,1.0,1,1
BRADLEY - 000514,BRADLEY,000514,3,3,0,1.0,1.0,1,1
BRADLEY - 000515,BRADLEY,000515,3,3,0,0.9999921446,0.9999528112,1,1
BRADLEY - 000516,BRADLEY,000516,3,3,0,1.0,1.0,1,1
BRADLEY - 000517,BRADLEY,000517,3,3,0,0.9999342544,1.0,2,1
CAMPBELL - 000601,CAMPBELL,000601,3,6,1,0.8890999393,0.9936221478,2,2
CAMPBELL - 000602,CAMPBELL,000602,3,6,1,0.9994392148,0.9994568317,2,2
CAMPBELL - 000603,CAMPBELL,000603,3,6,1,0.9800094821,0.9767792211,2,2
CAMPBELL - 000604,CAMPBELL,000604,2,2,0,1.0,1.0,1,1
CAMPBELL - 000605,CAMPBELL,000605,2,2,0,0.999262464,0.9992655336,3,2
CAMPBELL - 000607,CAMPBELL,000607,2,2,0,1.0,1.0,1,1
CAMPBELL - 000608,CAMPBELL,000608,2,2,0,0.9288814056,0.9691379274,2,2
CAMPBELL - 000609,CAMPBELL,000609,3,6,1,1.0,1.0,1,1
CAMPBELL - 000610,CAMPBELL,000610,3,6,1,0.9992636447,0.9992286991,2,2
CAMPBELL - 000611,CAMPBELL,000611,3,6,1,0.9992478963,0.9992205406,2,2
CAMPBELL - 000612,CAMPBELL,000612,3,6,1,0.9993771418,0.9989223464,2,3
CAMPBELL - 000613,CAMPBELL,000613,3,6,1,1.0,0.9996007342,1,2
CAMPBELL - 000614,CAMPBELL,000614,3,6,1,1.0,0.9995444945,1,2
CAMPBELL - 000615,CAMPBELL,000615,2,2,0,0.9988126256,0.9987760919,2,3
CAMPBELL - 000616,CAMPBELL,000616,2,2,0,0.9998977078,0.9998938811,2,3
CAMPBELL - 000617,CAMPBELL,000617,2,2,0,1.0,1.0,1,1
CAMPBELL - 000618,CAMPBELL,000618,2,2,0,0.9994917662,0.9999092683,2,2
CAMPBELL - 000619,CAMPBELL,000619,2,2,0,0.9999976293,1.0,1,1
CAMPBELL - 000620,CAMPBELL,000620,2,2,0,0.9996747648,0.9996921983,2,2
CAMPBELL - 000621,CAMPBELL,000621,2,2,0,0.9998888784,0.9999795964,1,1
CANNON - 000701,CANNON,000701,6,4,1,0.9997008723,1.0,2,1
CANNON - 000702,CANNON,000702,6,4,1,1.0,0.9999983923,1,2
CANNON - 000703,CANNON,000703,6,4,1,0.9998954035,1.0,2,1
CANNON - 000704,CANNON,000704,6,4,1,0.9999780742,1.0,2,1
CANNON - 000705,CANNON,000705,6,4,1,1.0,1.0,1,1
CANNON - 000706,CANNON,000706,6,4,1,0.999980729,0.9999476079,2,2
CANNON - 000707,CANNON,000707,6,4,1,1.0,1.0,1,1
CANNON - 000708,CANNON,000708,6,4,1,1.0,0.9999498522,1,2
CANNON - 000709,CANNON,000709,6,4,1,0.9999601806,0.9998239672,2,2
CARROLL - 000801,CARROLL,000801,8,8,0,1.0,0.9997852105,1,2
CARROLL - 000802,CARROLL,000802,8,8,0,1.0,0.9999985076,1,2
CARROLL - 000803,CARROLL,000803,8,8,0,1.0,0.9998420443,1,2
CARROLL - 000804,CARROLL,000804,8,8,0,1.0,1.0,1,1
CARROLL - 000805,CARROLL,000805,8,8,0,1.0,1.0,1,1
CARROLL - 000806,CARROLL,000806,8,8,0,1.0,1.0,1,1
CARROLL - 000807,CARROLL,000807,8,8,0,1.0,1.0,1,1
CARROLL - 000808,CARROLL,000808,8,8,0,1.0,0.9999976141,1,2
CARROLL - 000809,CARROLL,000809,8,8,0,1.0,0.999970239,1,2
CARROLL - 000810,CARROLL,000810,8,8,0,1.0,1.0,1,1
CARROLL - 000811,CARROLL,000811,8,8,0,1.0,0.999849134,1,2
CARROLL - 000812,CARROLL,000812,8,8,0,0.9999638662,0.9999633863,2,2
CARROLL - 000813,CARROLL,000813,8,8,0,1.0,1.0,1,1
CARROLL - 000814,CARROLL,000814,8,8,0,1.0,0.9999736574,1,2
CARROLL - 000815,CARROLL,000815,8,8,0,1.0,1.0,1,1
CARROLL - 000816,CARROLL,000816,8,8,0,1.0,1.0,1,1
CARROLL - 000817,CARROLL,000817,8,8,0,1.0,1.0,1,1
CARROLL - 000818,CARROLL,000818,8,8,0,1.0,0.9994234525,1,2
CARROLL - 000819,CARROLL,000819,8,8,0,0.99997842,0.9999420202,2,2
CARTER - 000901,CARTER,000901,1,1,0,1.0,1.0,1,1
CARTER - 000902,CARTER,000902,1,1,0,1.0,1.0,1,1
CARTER - 000903,CARTER,000903,1,1,0,1.0,1.0,1,1
CARTER - 000904,CARTER,000904,1,1,0,1.0,1.0,1,1
CARTER - 000905,CARTER,000905,1,1,0,1.0,1.0,1,1
CARTER - 000906,CARTER,000906,1,1,0,1.0,1.0,1,1
CARTER - 000907,CARTER,000907,1,1,0,1.0,1.0,1,1
CARTER - 000908,CARTER,000908,1,1,0,1.0,1.0,1,1
CARTER - 000909,CARTER,000909,1,1,0,1.0,1.0,1,1
CARTER - 000910,CARTER,000910,1,1,0,1.0,1.0,1,1
CARTER - 000911,CARTER,000911,1,1,0,1.0,1.0,1,1
CARTER - 000912,CARTER,000912,1,1,0,1.0,1.0,1,1
CARTER - 000913,CARTER,000913,1,1,0,1.0,1.0,1,1
CARTER - 000914,CARTER,000914,1,1,0,0.9999355577,0.9998802644,1,1
CARTER - 000915,CARTER,000915,1,1,0,0.9995784882,0.9995201445,1,1
CARTER - 000916,CARTER,000916,1,1,0,1.0,1.0,1,1
CARTER - 000917,CARTER,000917,1,1,0,1.0,1.0,1,1
CARTER - 000918,CARTER,000918,1,1,0,0.9997494798,0.9997224777,1,1
CARTER - 000919,CARTER,000919,1,1,0,1.0,1.0,1,1
CARTER - 000920,CARTER,000920,1,1,0,1.0,1.0,1,1
CARTER - 000921,CARTER,000921,1,1,0,1.0,1.0,1,1
CARTER - 000922,CARTER,000922,1,1,0,1.0,1.0,1,1
CHEATHAM - 001001,CHEATHAM,001001,7,7,0,1.0,1.0,1,1
CHEATHAM - 001002,CHEATHAM,001002,7,7,0,1.0,1.0,1,1
CHEATHAM - 001003,CHEATHAM,001003,7,7,0,1.0,1.0,1,1
CHEATHAM - 001004,CHEATHAM,001004,7,7,0,1.0,1.0,1,1
CHEATHAM - 001005,CHEATHAM,001005,7,7,0,1.0,1.0,1,1
CHEATHAM - 001006,CHEATHAM,001006,7,7,0,1.0,0.9999150237,1,2
CHEATHAM - 001007,CHEATHAM,001007,7,7,0,0.9999309621,1.0,2,1
CHEATHAM - 001008,CHEATHAM,001008,7,7,0,1.0,1.0,1,1
CHESTER - 001101,CHESTER,001101,8,8,0,1.0,1.0,1,1
CHESTER - 001102,CHESTER,001102,8,8,0,1.0,1.0,1,1
CHESTER - 001103,CHESTER,001103,8,8,0,1.0,0.9998897618,1,2
CHESTER - 001104,CHESTER,001104,8,8,0,1.0,0.9996806291,1,2
CHESTER - 001105,CHESTER,001105,8,8,0,1.0,1.0,1,1
CHESTER - 001106,CHESTER,001106,8,8,0,1.0,1.0,1,1
CHESTER - 001107,CHESTER,001107,8,8,0,1.0,1.0,1,1
CHESTER - 001108,CHESTER,001108,8,8,0,1.0,0.9998547508,1,2
CHESTER - 001109,CHESTER,001109,8,8,0,1.0,0.9995716288,1,2
CHESTER - 001110,CHESTER,001110,8,8,0,1.0,0.9998962013,1,2
CHESTER - 001111,CHESTER,001111,8,8,0,1.0,0.9997651674,1,2
CLAIBORNE - 001201,CLAIBORNE,001201,2,2,0,1.0,1.0,1,1
CLAIBORNE - 001202,CLAIBORNE,001202,2,2,0,0.9999757894,0.9999973023,1,1
CLAIBORNE - 001203,CLAIBORNE,001203,2,2,0,0.9999399433,0.999970384,2,2
CLAIBORNE - 001204,CLAIBORNE,001204,2,2,0,0.9999791448,0.9999925976,1,1
CLAIBORNE - 001205,CLAIBORNE,001205,2,2,0,1.0,1.0,1,1
CLAIBORNE - 001206,CLAIBORNE,001206,2,2,0,1.0,1.0,1,1
CLAIBORNE - 001207,CLAIBORNE,001207,2,2,0,1.0,1.0,1,1
CLAIBORNE - 001208,CLAIBORNE,001208,2,2,0,1.0,1.0,1,1
CLAIBORNE - 001209,CLAIBORNE,001209,2,2,0,0.9988760368,0.9989768793,1,1
CLAIBORNE - 001210,CLAIBORNE,001210,2,2,0,1.0,1.0,1,1
CLAIBORNE - 001211,CLAIBORNE,001211,2,2,0,1.0,1.0,1,1
CLAIBORNE - 001212,CLAIBORNE,001212,2,2,0,0.9999999942,1.0,2,1
CLAIBORNE - 001213,CLAIBORNE,001213,2,2,0,1.0,1.0,1,1
CLAIBORNE - 001214,CLAIBORNE,001214,2,2,0,0.9999615321,0.9999436949,2,2
CLAIBORNE - 001215,CLAIBORNE,001215,2,2,0,0.9999881864,0.9999713686,2,2
CLAIBORNE - 001216,CLAIBORNE,001216,2,2,0,0.9999999622,0.9999989247,2,2
CLAIBORNE - 001217,CLAIBORNE,001217,2,2,0,1.0,1.0,1,1
CLAY - 001301,CLAY,001301,6,6,0,1.0,1.0,1,1
CLAY - 001302,CLAY,001302,6,6,0,0.9999993911,1.0,1,1
CLAY - 001303,CLAY,001303,6,6,0,0.9999636847,0.999985689,1,1
CLAY - 001304,CLAY,001304,6,6,0,0.9999377193,0.9999600354,1,1
CLAY - 001305,CLAY,001305,6,6,0,1.0,1.0,1,1
CLAY - 001306,CLAY,001306,6,6,0,1.0,1.0,1,1
CLAY - 001307,CLAY,001307,6,6,0,0.9999848216,0.9999291758,1,2
COCKE - 001401,COCKE,001401,1,1,0,1.0,1.0,1,1
COCKE - 001402,COCKE,001402,1,1,0,1.0,1.0,1,1
COCKE - 001403,COCKE,001403,1,1,0,1.0,1.0,1,1
COCKE - 001404,COCKE,001404,1,1,0,0.9994711276,0.9994297353,1,1
COCKE - 001405,COCKE,001405,1,1,0,0.9995389552,0.9994792515,1,1
COCKE - 001406,COCKE,001406,1,1,0,1.0,1.0,1,1
COCKE - 001407,COCKE,001407,1,1,0,1.0,1.0,1,1
COCKE - 001408,COCKE,001408,1,1,0,0.9997479009,0.9997207027,1,1
COCKE - 001409,COCKE,001409,1,1,0,1.0,1.0,1,1
COCKE - 001410,COCKE,001410,1,1,0,1.0,1.0,1,1
COCKE - 001411,COCKE,001411,1,1,0,1.0,1.0,1,1
COCKE - 001412,COCKE,001412,1,1,0,1.0,1.0,1,1
COCKE - 001413,COCKE,001413,1,1,0,1.0,1.0,1,1
COCKE - 001414,COCKE,001414,1,1,0,1.0,1.0,1,1
COCKE - 001415,COCKE,001415,1,1,0,1.0,1.0,1,1
COCKE - 001416,COCKE,001416,1,1,0,1.0,1.0,1,1
COCKE - 001417,COCKE,001417,1,1,0,1.0,1.0,1,1
COCKE - 001418,COCKE,001418,1,1,0,0.9997851009,0.9997717547,1,1
COCKE - 001419,COCKE,001419,1,1,0,1.0,1.0,1,1
COFFEE - 001501,COFFEE,001501,4,4,0,1.0,1.0,1,1
COFFEE - 001502,COFFEE,001502,4,4,0,1.0,1.0,1,1
COFFEE - 001503,COFFEE,001503,4,4,0,1.0,1.0,1,1
COFFEE - 001504,COFFEE,001504,4,4,0,1.0,1.0,1,1
COFFEE - 001505,COFFEE,001505,4,4,0,1.0,1.0,1,1
COFFEE - 001506,COFFEE,001506,4,4,0,1.0,1.0,1,1
COFFEE - 001507,COFFEE,001507,4,4,0,1.0,1.0,1,1
COFFEE - 001508,COFFEE,001508,4,4,0,1.0,1.0,1,1
COFFEE - 001509,COFFEE,001509,4,4,0,0.9998933693,0.9999142276,2,2
COFFEE - 001510,COFFEE,001510,4,4,0,1.0,1.0,1,1
COFFEE - 001511,COFFEE,001511,4,4,0,1.0,0.9999309741,1,2
COFFEE - 001512,COFFEE,001512,4,4,0,1.0,0.9999907499,1,2
COFFEE - 001513,COFFEE,001513,4,4,0,1.0,0.999709782,1,2
COFFEE - 001514,COFFEE,001514,4,4,0,1.0,1.0,1,1
COFFEE - 001515,COFFEE,001515,4,4,0,1.0,1.0,1,1
COFFEE - 001516,COFFEE,001516,4,4,0,1.0,1.0,1,1
COFFEE - 001517,COFFEE,001517,4,4,0,1.0,1.0,1,1
COFFEE - 001518,COFFEE,001518,4,4,0,1.0,0.9996909887,1,2
COFFEE - 001519,COFFEE,001519,4,4,0,1.0,1.0,1,1
COFFEE - 001520,COFFEE,001520,4,4,0,1.0,0.9999751398,1,2
COFFEE - 001521,COFFEE,001521,4,4,0,1.0,0.9992080439,1,2
COFFEE - 001522,COFFEE,001522,4,4,0,0.9997195232,1.0,2,1
COFFEE - 001523,COFFEE,001523,4,4,0,1.0,1.0,1,1
CROCKETT - 001601,CROCKETT,001601,8,8,0,1.0,1.0,1,1
CROCKETT - 001602,CROCKETT,001602,8,8,0,1.0,0.9999426094,1,2
CROCKETT - 001603,CROCKETT,001603,8,8,0,1.0,0.9995593785,1,2
CROCKETT - 001604,CROCKETT,001604,8,8,0,1.0,1.0,1,1
CROCKETT - 001605,CROCKETT,001605,8,8,0,1.0,1.0,1,1
CROCKETT - 001606,CROCKETT,001606,8,8,0,1.0,1.0,1,1
CROCKETT - 001607,CROCKETT,001607,8,8,0,1.0,1.0,1,1
CROCKETT - 001608,CROCKETT,001608,8,8,0,1.0,1.0,1,1
CROCKETT - 001609,CROCKETT,001609,8,8,0,1.0,1.0,1,1
CROCKETT - 001610,CROCKETT,001610,8,8,0,1.0,1.0,1,1
CROCKETT - 001611,CROCKETT,001611,8,8,0,1.0,1.0,1,1
CROCKETT - 001612,CROCKETT,001612,8,8,0,1.0,1.0,1,1
CUMBERLAND - 001701,CUMBERLAND,001701,6,6,0,1.0,1.0,1,1
CUMBERLAND - 001702,CUMBERLAND,001702,6,6,0,0.999995428,0.9999766143,2,2
CUMBERLAND - 001703,CUMBERLAND,001703,6,6,0,1.0,1.0,1,1
CUMBERLAND - 001704,CUMBERLAND,001704,6,6,0,1.0,1.0,1,1
CUMBERLAND - 001705,CUMBERLAND,001705,6,6,0,1.0,1.0,1,1
CUMBERLAND - 001706,CUMBERLAND,001706,6,6,0,0.999913292,1.0,2,1
CUMBERLAND - 001707,CUMBERLAND,001707,6,6,0,1.0,1.0,1,1
CUMBERLAND - 001708,CUMBERLAND,001708,6,6,0,1.0,1.0,1,1
CUMBERLAND - 001709,CUMBERLAND,001709,6,6,0,1.0,1.0,1,1
CUMBERLAND - 001710,CUMBERLAND,001710,6,6,0,0.9999441694,0.999894753,2,3
CUMBERLAND - 001711,CUMBERLAND,001711,6,6,0,1.0,1.0,1,1
CUMBERLAND - 001712,CUMBERLAND,001712,6,6,0,1.0,1.0,1,1
CUMBERLAND - 001713,CUMBERLAND,001713,6,6,0,0.9999915822,0.9999378452,2,2
CUMBERLAND - 001714,CUMBERLAND,001714,6,6,0,1.0,1.0,1,1
CUMBERLAND - 001715,CUMBERLAND,001715,6,6,0,0.9999661921,0.9998658788,2,2
CUMBERLAND - 001716,CUMBERLAND,001716,6,6,0,0.9998899346,1.0,2,1
CUMBERLAND - 001717,CUMBERLAND,001717,6,6,0,0.9995506347,0.9994872603,2,2
CUMBERLAND - 001718,CUMBERLAND,001718,6,6,0,1.0,1.0,1,1
CUMBERLAND - 001719,CUMBERLAND,001719,6,6,0,1.0,1.0,1,1
CUMBERLAND - 001720,CUMBERLAND,001720,6,6,0,1.0,1.0,1,1
CUMBERLAND - 001721,CUMBERLAND,001721,6,6,0,1.0,1.0,1,1
CUMBERLAND - 001722,CUMBERLAND,001722,6,6,0,1.0,1.0,1,1
CUMBERLAND - 001723,CUMBERLAND,001723,6,6,0,0.9999319642,0.9998519989,2,2
CUMBERLAND - 001724,CUMBERLAND,001724,6,6,0,1.0,1.0,1,1
DAVIDSON - 001801,DAVIDSON,001801,7,7,0,1.0,1.0,1,1
DAVIDSON - 001802,DAVIDSON,001802,7,7,0,1.0,1.0,1,1
DAVIDSON - 001803,DAVIDSON,001803,7,7,0,1.0,1.0,1,1
DAVIDSON - 001804,DAVIDSON,001804,7,7,0,1.0,1.0,1,1
DAVIDSON - 001805,DAVIDSON,001805,7,7,0,1.0,0.9998119227,1,2
DAVIDSON - 001806,DAVIDSON,001806,7,7,0,1.0,1.0,1,1
DAVIDSON - 001807,DAVIDSON,001807,7,7,0,0.9999875149,0.7370126521,2,2
DAVIDSON - 001808,DAVIDSON,001808,7,7,0,0.9778298283,0.8228641166,2,2
DAVIDSON - 001809,DAVIDSON,001809,7,7,0,1.0,1.0,1,1
DAVIDSON - 001810,DAVIDSON,001810,7,7,0,1.0,0.9999999417,1,2
DAVIDSON - 001811,DAVIDSON,001811,7,7,0,0.9979460947,1.0,2,1
DAVIDSON - 001812,DAVIDSON,001812,7,7,0,1.0,1.0,1,1
DAVIDSON - 001813,DAVIDSON,001813,7,7,0,1.0,1.0,1,1
DAVIDSON - 001814,DAVIDSON,001814,7,7,0,0.9998407703,1.0,2,1
DAVIDSON - 001815,DAVIDSON,001815,7,7,0,0.9999749891,0.9988731309,2,2
DAVIDSON - 001816,DAVIDSON,001816,7,7,0,1.0,1.0,1,1
DAVIDSON - 001817,DAVIDSON,001817,5,7,1,1.0,0.99954238,1,3
DAVIDSON - 001818,DAVIDSON,001818,5,4,1,1.0,1.0,1,1
DAVIDSON - 001819,DAVIDSON,001819,5,7,1,1.0,0.9921596761,1,3
DAVIDSON - 001820,DAVIDSON,001820,5,4,1,1.0,0.9993144315,1,3
DAVIDSON - 001821,DAVIDSON,001821,6,6,0,0.9795892367,1.0,2,1
DAVIDSON - 001822,DAVIDSON,001822,6,6,0,1.0,0.9933958266,1,2
DAVIDSON - 001823,DAVIDSON,001823,6,6,0,1.0,1.0,1,1
DAVIDSON - 001824,DAVIDSON,001824,6,6,0,0.9982004674,0.5063266488,2,2
DAVIDSON - 001825,DAVIDSON,001825,6,6,0,1.0,1.0,1,1
DAVIDSON - 001826,DAVIDSON,001826,6,6,0,1.0,1.0,1,1
DAVIDSON - 001827,DAVIDSON,001827,6,6,0,0.9998051076,1.0,2,1
DAVIDSON - 001828,DAVIDSON,001828,6,6,0,0.9992263609,0.909830272,2,2
DAVIDSON - 001829,DAVIDSON,001829,6,6,0,1.0,1.0,1,1
DAVIDSON - 001830,DAVIDSON,001830,6,6,0,1.0,1.0,1,1
DAVIDSON - 001831,DAVIDSON,001831,6,6,0,1.0,1.0,1,1
DAVIDSON - 001832,DAVIDSON,001832,6,6,0,1.0,1.0,1,1
DAVIDSON - 001833,DAVIDSON,001833,6,6,0,1.0,1.0,1,1
DAVIDSON - 001834,DAVIDSON,001834,6,6,0,1.0,1.0,1,1
DAVIDSON - 001835,DAVIDSON,001835,6,6,0,1.0,1.0,1,1
DAVIDSON - 001836,DAVIDSON,001836,6,6,0,1.0,0.9997975433,1,2
DAVIDSON - 001837,DAVIDSON,001837,6,6,0,0.9977586017,0.8491742078,2,2
DAVIDSON - 001838,DAVIDSON,001838,6,6,0,1.0,1.0,1,1
DAVIDSON - 001839,DAVIDSON,001839,6,7,1,0.8932510261,0.5623886232,2,2
DAVIDSON - 001840,DAVIDSON,001840,6,7,1,0.6638058827,0.9998883081,2,2
DAVIDSON - 001841,DAVIDSON,001841,6,6,0,1.0,0.9985108002,1,2
DAVIDSON - 001842,DAVIDSON,001842,6,6,0,1.0,0.9999556788,1,2
