precinct_key,county_norm,prec_id,district_num,dominant_weight,total_weight,split_count,is_split
BLOUNT - 000404,BLOUNT,000404,20,0.9960557283,1.0,2,1
BLOUNT - 000405,BLOUNT,000405,8,0.9993575391,1.0,3,1
BLOUNT - 000406,BLOUNT,000406,8,0.9994794525,1.0,3,1
BLOUNT - 000407,BLOUNT,000407,20,0.9979333782,1.0,2,1
BLOUNT - 000408,BLOUNT,000408,8,0.9987396647,1.0,2,1
BLOUNT - 000409,BLOUNT,000409,8,0.9157428041,1.0,2,1
BLOUNT - 000410,BLOUNT,000410,8,0.9985794793,1.0,4,1
BLOUNT - 000411,BLOUNT,000411,20,0.9960440123,1.0,2,1
BLOUNT - 000412,BLOUNT,000412,20,0.9994500624,1.0,2,1
BLOUNT - 000413,BLOUNT,000413,20,0.9990690638,1.0,2,1
BLOUNT - 000414,BLOUNT,000414,20,0.9997693795,1.0,2,1
BLOUNT - 000415,BLOUNT,000415,20,0.999697562,1.0,3,1
BLOUNT - 000416,BLOUNT,000416,20,0.9996638701,1.0,4,1
BLOUNT - 000417,BLOUNT,000417,20,1.0,1.0,1,0
BLOUNT - 000418,BLOUNT,000418,8,0.9992941656,0.9998612634,4,1
BLOUNT - 000419,BLOUNT,000419,20,0.8357252442,1.0,2,1
BLOUNT - 000420,BLOUNT,000420,20,0.9899409167,1.0,2,1
BLOUNT - 000421,BLOUNT,000421,20,0.9993732292,1.0,2,1
BLOUNT - 000423,BLOUNT,000423,20,0.9025028571,1.0,3,1
BLOUNT - 000424,BLOUNT,000424,8,0.9994218985,1.0,2,1
BLOUNT - 000425,BLOUNT,000425,8,1.0,1.0,1,0
BLOUNT - 000426,BLOUNT,000426,8,0.9997005263,1.0,2,1
BLOUNT - 000427,BLOUNT,000427,8,0.9997746134,1.0,2,1
BLOUNT - 000429,BLOUNT,000429,8,0.9987835651,1.0,3,1
BLOUNT - 000430,BLOUNT,000430,20,0.9992966991,1.0,2,1
BLOUNT - 000431,BLOUNT,000431,20,0.997730476,1.0,2,1
BLOUNT - 000432,BLOUNT,000432,8,0.920855462,1.0,2,1
BLOUNT - 000433,BLOUNT,000433,20,0.7433300767,1.0,2,1
BLOUNT - 000434,BLOUNT,000434,8,0.9998764749,1.0,2,1
BLOUNT - 000435,BLOUNT,000435,8,1.0,1.0,1,0
BLOUNT - 000436,BLOUNT,000436,20,1.0,1.0,1,0
BRADLEY - 000501,BRADLEY,000501,24,0.9996370367,1.0,3,1
BRADLEY - 000502,BRADLEY,000502,24,1.0,1.0,1,0
BRADLEY - 000503,BRADLEY,000503,22,0.9995470166,1.0,4,1
BRADLEY - 000504,BRADLEY,000504,24,0.9970198564,1.0,2,1
BRADLEY - 000505,BRADLEY,000505,22,0.999162458,1.0,3,1
