county,code,vtd_name,old_cd5_share,old_cd8_share,old_cd9_share,new_cd5_share,new_cd8_share,new_cd9_share,delta_cd8_share,old_dominant_cd,new_dominant_cd,moved_into_cd8_from_5_or_9
SHELBY,008103,Memphis 11,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008104,Memphis 12,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008105,Memphis 13,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008106,Memphis 16-3,0.0,0.0,1.0,0.9997485771706477,0.0,0.0002514228293522715,0.0,9,5,no
SHELBY,008107,Memphis 16-1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008108,Memphis 17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008109,Memphis 20-1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008110,Memphis 20-3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008111,Memphis 21,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008113,Memphis 26,0.0,0.0,1.0,0.5532182984392428,0.0,0.4467817015607573,0.0,9,5,no
SHELBY,008114,Memphis 28,0.0,0.0,1.0,0.9997200011915512,0.0,0.00027999880844878323,0.0,9,5,no
SHELBY,008117,Memphis 31-2,0.0,0.0,1.0,0.5497546446699394,0.0,0.45024535533006066,0.0,9,5,no
SHELBY,008118,Memphis 31-4,0.0,0.0,1.0,0.041984805901013916,0.0,0.9580151940989861,0.0,9,9,no
SHELBY,008120,Memphis 34-2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008121,Memphis 50-2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008122,Memphis 36-1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008123,Memphis 36-2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008130,Memphis 41-3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008131,Memphis 42-1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008138,Memphis 45-2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,9,no
SHELBY,008142,Memphis 47,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,9,no
SHELBY,008144,Memphis 49,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008145,Memphis 50-1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008161,Memphis 59-5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,9,no
SHELBY,008164,Memphis 60-3,0.0,0.0,1.0,0.8315287408359011,0.0,0.16847125916409889,0.0,9,5,no
SHELBY,008166,Memphis 60-5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,9,no
SHELBY,008167,Memphis 60-6,0.0,0.0,1.0,1.0290736361388974e-06,0.0,0.9999989709263639,0.0,9,9,no
SHELBY,008168,Memphis 60-7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,9,no
SHELBY,008170,Memphis 60-9,0.0,0.0,1.0,0.13796219060196765,0.0,0.8620378093980323,0.0,9,9,no
SHELBY,008171,Memphis 61,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,9,no
SHELBY,008174,Memphis 64,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8,8,no
SHELBY,008182,Memphis 69-2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008183,Memphis 70-1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008184,Memphis 70-2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008189,Memphis 72-3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008190,Memphis 72-7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008191,Memphis 73-1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,9,no
