geoid,nyt_key,prctseq,label,vtd20,vtd_name,weight,county_norm,county_fp
47037-19-3,19-3,103,19-3,001892,19-3,0.7948356694941406,DAVIDSON,037
47037-19-3,19-3,103,19-3,001902,21-4,0.07918064009729187,DAVIDSON,037
47037-19-3,19-3,103,19-3,001901,21-3,0.07120737871397977,DAVIDSON,037
47037-19-3,19-3,103,19-3,001891,19-2,0.030702317950084372,DAVIDSON,037
47037-19-3,19-3,103,19-3,001893,19-4,0.0240739937445034,DAVIDSON,037
47037-19-4,19-4,104,19-4,001890,19-1,0.7904844134866945,DAVIDSON,037
47037-19-4,19-4,104,19-4,001893,19-4,0.10849158479500459,DAVIDSON,037
47037-19-4,19-4,104,19-4,001892,19-3,0.10102400171830092,DAVIDSON,037
47037-19-5,19-5,105,19-5,001890,19-1,0.6112393382777792,DAVIDSON,037
47037-19-5,19-5,105,19-5,001893,19-4,0.1842614222881056,DAVIDSON,037
47037-19-5,19-5,105,19-5,001901,21-3,0.11068887795800555,DAVIDSON,037
47037-19-5,19-5,105,19-5,001902,21-4,0.09381036147610956,DAVIDSON,037
47037-2-1,2-1,8,02-1,001807,2-2,0.988799438025499,DAVIDSON,037
47037-2-1,2-1,8,02-1,001815,3-5,0.01120056197450099,DAVIDSON,037
47037-2-2,2-2,9,02-2,001807,2-2,0.9438091155315651,DAVIDSON,037
47037-2-2,2-2,9,02-2,001815,3-5,0.056190884468434905,DAVIDSON,037
47037-2-3,2-3,10,02-3,001808,2-3,0.7857496884149742,DAVIDSON,037
47037-2-3,2-3,10,02-3,001821,5-1,0.2142503115850258,DAVIDSON,037
47037-2-4,2-4,11,02-4,001809,2-4,1.0,DAVIDSON,037
47037-2-5,2-5,12,02-5,001806,2-1,0.505057230190584,DAVIDSON,037
47037-2-5,2-5,12,02-5,001810,2-5,0.32518076710719396,DAVIDSON,037
47037-2-5,2-5,12,02-5,001803,1-3,0.08829530744038416,DAVIDSON,037
47037-2-5,2-5,12,02-5,001815,3-5,0.08146669526183786,DAVIDSON,037
47037-20-1,20-1,106,20-1,001896,20-1,1.0,DAVIDSON,037
47037-20-2,20-2,107,20-2,001897,20-2,0.9350342881751101,DAVIDSON,037
47037-20-2,20-2,107,20-2,001896,20-1,0.06496571182488986,DAVIDSON,037
47037-20-3,20-3,108,20-3,001898,20-3,1.0,DAVIDSON,037
47037-20-4,20-4,109,20-4,001907,23-1,0.8022620285178855,DAVIDSON,037
47037-20-4,20-4,109,20-4,001911,23-5,0.1977379714821144,DAVIDSON,037
47037-20-5,20-5,110,20-5,001898,20-3,0.5911219253736714,DAVIDSON,037
47037-20-5,20-5,110,20-5,001913,24-2,0.3983710876249995,DAVIDSON,037
47037-20-5,20-5,110,20-5,001917,24-6,0.010506987001329028,DAVIDSON,037
47037-21-1,21-1,111,21-1,001902,21-4,1.0,DAVIDSON,037
47037-21-2,21-2,112,21-2,001901,21-3,0.7732267430524378,DAVIDSON,037
47037-21-2,21-2,112,21-2,001892,19-3,0.1799386442859919,DAVIDSON,037
47037-21-2,21-2,112,21-2,001902,21-4,0.04683461266157036,DAVIDSON,037
47037-21-3,21-3,113,21-3,001900,21-2,1.0,DAVIDSON,037
47037-21-4,21-4,114,21-4,001899,21-1,1.0,DAVIDSON,037
47037-22-1,22-1,115,22-1,001903,22-1,0.733710826873025,DAVIDSON,037
47037-22-1,22-1,115,22-1,001905,22-3,0.2268233702435146,DAVIDSON,037
47037-22-1,22-1,115,22-1,001908,23-2,0.03946580288346043,DAVIDSON,037
47037-22-2,22-2,116,22-2,001908,23-2,0.8575581691672578,DAVIDSON,037
47037-22-2,22-2,116,22-2,001903,22-1,0.14244183083274214,DAVIDSON,037
47037-22-3,22-3,117,22-3,001961,35-4,0.9180410400031828,DAVIDSON,037
47037-22-3,22-3,117,22-3,001906,22-4,0.08195895999681722,DAVIDSON,037
47037-22-4,22-4,118,22-4,001905,22-3,0.6308499231863351,DAVIDSON,037
47037-22-4,22-4,118,22-4,001906,22-4,0.36915007681366485,DAVIDSON,037
47037-23-1,23-1,119,23-1,001910,23-4,1.0,DAVIDSON,037
47037-23-2,23-2,120,23-2,001907,23-1,0.9890773309495515,DAVIDSON,037
47037-23-2,23-2,120,23-2,001911,23-5,0.010922669050448364,DAVIDSON,037
47037-23-3,23-3,121,23-3,001908,23-2,0.7720259887493676,DAVIDSON,037
47037-23-3,23-3,121,23-3,001909,23-3,0.2279740112506325,DAVIDSON,037
47037-23-4,23-4,122,23-4,001908,23-2,0.7077722041512389,DAVIDSON,037
47037-23-4,23-4,122,23-4,001909,23-3,0.29222779584876113,DAVIDSON,037
47037-23-5,23-5,123,23-5,001917,24-6,1.0,DAVIDSON,037
47037-24-1,24-1,124,24-1,001901,21-3,1.0,DAVIDSON,037
47037-24-2,24-2,125,24-2,001918,25-1,0.6230319574691731,DAVIDSON,037
47037-24-2,24-2,125,24-2,001917,24-6,0.376968042530827,DAVIDSON,037
47037-24-3,24-3,126,24-3,001915,24-4,0.9632601517668552,DAVIDSON,037
47037-24-3,24-3,126,24-3,001901,21-3,0.03673984823314482,DAVIDSON,037
47037-24-4,24-4,127,24-4,001916,24-5,0.8524760336663294,DAVIDSON,037
47037-24-4,24-4,127,24-4,001902,21-4,0.116903776722454,DAVIDSON,037
47037-24-4,24-4,127,24-4,001912,24-1,0.03062018961121657,DAVIDSON,037
47037-24-5,24-5,128,24-5,001912,24-1,0.6980709693282035,DAVIDSON,037
47037-24-5,24-5,128,24-5,001913,24-2,0.30192903067179655,DAVIDSON,037
47037-24-6,24-6,129,24-6,001917,24-6,0.5503258421540094,DAVIDSON,037
47037-24-6,24-6,129,24-6,001914,24-3,0.44967415784599063,DAVIDSON,037
47037-25-1,25-1,130,25-1,001919,25-2,0.849019954947667,DAVIDSON,037
47037-25-1,25-1,130,25-1,001921,25-4,0.15098004505233298,DAVIDSON,037
47037-25-2,25-2,131,25-2,001957,34-5,0.8342637659132979,DAVIDSON,037
47037-25-2,25-2,131,25-2,001919,25-2,0.14055864514974295,DAVIDSON,037
47037-25-2,25-2,131,25-2,001956,34-4,0.0251775889369592,DAVIDSON,037
47037-25-3,25-3,132,25-3,001919,25-2,0.5028608624156117,DAVIDSON,037
47037-25-3,25-3,132,25-3,001920,25-3,0.4398282738073475,DAVIDSON,037
47037-25-3,25-3,132,25-3,001957,34-5,0.05731086377704076,DAVIDSON,037
47037-25-4,25-4,133,25-4,001921,25-4,0.9777247132582143,DAVIDSON,037
47037-25-4,25-4,133,25-4,001919,25-2,0.011825406310131252,DAVIDSON,037
47037-25-4,25-4,133,25-4,001882,17-5,0.010449880431654374,DAVIDSON,037
47037-25-5,25-5,134,25-5,001920,25-3,0.5944210421066667,DAVIDSON,037
47037-25-5,25-5,134,25-5,001918,25-1,0.37146148796936895,DAVIDSON,037
47037-25-5,25-5,134,25-5,001921,25-4,0.034117469923964305,DAVIDSON,037
47037-26-1,26-1,135,26-1,001882,17-5,0.9314888479832297,DAVIDSON,037
47037-26-1,26-1,135,26-1,001881,17-4,0.06851115201677024,DAVIDSON,037
47037-26-2,26-2,136,26-2,001817,4-1,0.5742600237262492,DAVIDSON,037
47037-26-2,26-2,136,26-2,001925,26-4,0.41304042778574496,DAVIDSON,037
47037-26-2,26-2,136,26-2,001956,34-4,0.012699548488005863,DAVIDSON,037
47037-26-3,26-3,137,26-3,001923,26-2,0.9853400526238113,DAVIDSON,037
47037-26-3,26-3,137,26-3,001927,27-2,0.014659947376188719,DAVIDSON,037
47037-26-4,26-4,138,26-4,001924,26-3,0.5409151937104242,DAVIDSON,037
47037-26-4,26-4,138,26-4,001877,16-5,0.2231570480558212,DAVIDSON,037
47037-26-4,26-4,138,26-4,001875,16-3,0.13622012783160548,DAVIDSON,037
47037-26-4,26-4,138,26-4,001926,27-1,0.063999649056265,DAVIDSON,037
47037-26-4,26-4,138,26-4,001928,27-3,0.026810991470195146,DAVIDSON,037
47037-26-4,26-4,138,26-4,001927,27-2,0.008896989875689024,DAVIDSON,037
47037-27-1,27-1,139,27-1,001926,27-1,0.46776085783733873,DAVIDSON,037
47037-27-1,27-1,139,27-1,001939,30-4,0.365465664272119,DAVIDSON,037
47037-27-1,27-1,139,27-1,001938,30-3,0.16677347789054237,DAVIDSON,037
47037-27-3,27-3,140,27-3,001928,27-3,0.4899079121696271,DAVIDSON,037
47037-27-3,27-3,140,27-3,001936,30-1,0.21357566346889856,DAVIDSON,037
47037-27-3,27-3,140,27-3,001926,27-1,0.11617529917311743,DAVIDSON,037
47037-27-3,27-3,140,27-3,001938,30-3,0.10690369007471995,DAVIDSON,037
47037-27-3,27-3,140,27-3,001937,30-2,0.07343743511363694,DAVIDSON,037
47037-27-4,27-4,141,27-4,001926,27-1,0.4720131423753402,DAVIDSON,037
47037-27-4,27-4,141,27-4,001927,27-2,0.27539106890118237,DAVIDSON,037
47037-27-4,27-4,141,27-4,001928,27-3,0.25259578872347743,DAVIDSON,037
47037-28-1,28-1,142,28-1,001929,28-1,0.6279263683455567,DAVIDSON,037
47037-28-1,28-1,142,28-1,001932,29-1,0.36234137139800393,DAVIDSON,037
47037-28-1,28-1,142,28-1,001861,13-3,0.009732260256439505,DAVIDSON,037
47037-28-2,28-2,143,28-2,001929,28-1,0.5507106019040017,DAVIDSON,037
47037-28-2,28-2,143,28-2,001860,13-2,0.44928939809599827,DAVIDSON,037
47037-28-3,28-3,144,28-3,001931,28-3,0.6799293555028398,DAVIDSON,037
47037-28-3,28-3,144,28-3,001860,13-2,0.19617380641306265,DAVIDSON,037
47037-28-3,28-3,144,28-3,001930,28-2,0.12389683808409761,DAVIDSON,037
47037-28-4,28-4,145,28-4,001930,28-2,0.873345471158403,DAVIDSON,037
47037-28-4,28-4,145,28-4,001929,28-1,0.126654528841597,DAVIDSON,037
47037-28-5,28-5,146,28-5,001929,28-1,0.8028971061729375,DAVIDSON,037
47037-28-5,28-5,146,28-5,001930,28-2,0.19710289382706245,DAVIDSON,037
47037-29-1,29-1,147,29-1,001935,29-4,0.7618711586064902,DAVIDSON,037
47037-29-1,29-1,147,29-1,001949,33-2,0.23812884139350984,DAVIDSON,037
47037-29-2,29-2,148,29-2,001933,29-2,0.3936605608939282,DAVIDSON,037
47037-29-2,29-2,148,29-2,001934,29-3,0.3904327132967539,DAVIDSON,037
47037-29-2,29-2,148,29-2,001932,29-1,0.1085662461759055,DAVIDSON,037
47037-29-2,29-2,148,29-2,001949,33-2,0.07343318999819398,DAVIDSON,037
47037-29-2,29-2,148,29-2,001935,29-4,0.0339072896352183,DAVIDSON,037
47037-29-3,29-3,149,29-3,001933,29-2,0.9690899814215926,DAVIDSON,037
47037-29-3,29-3,149,29-3,001932,29-1,0.030910018578407302,DAVIDSON,037
47037-29-4,29-4,150,29-4,001949,33-2,0.5483059694730341,DAVIDSON,037
47037-29-4,29-4,150,29-4,001935,29-4,0.41242067165760327,DAVIDSON,037
47037-29-4,29-4,150,29-4,001934,29-3,0.020225802132188515,DAVIDSON,037
47037-29-4,29-4,150,29-4,001933,29-2,0.019047556737174072,DAVIDSON,037
47037-3-1,3-1,13,03-1,001812,3-2,1.0,DAVIDSON,037
47037-3-2,3-2,14,03-2,001814,3-4,0.6079108297760392,DAVIDSON,037
47037-3-2,3-2,14,03-2,001816,3-6,0.3920891702239609,DAVIDSON,037
47037-3-3,3-3,15,03-3,001816,3-6,1.0,DAVIDSON,037
47037-3-4,3-4,16,03-4,001839,8-3,0.9844978921416279,DAVIDSON,037
47037-3-4,3-4,16,03-4,001840,8-4,0.015502107858372121,DAVIDSON,037
47037-3-5,3-5,17,03-5,001840,8-4,0.9236541362530014,DAVIDSON,037
47037-3-5,3-5,17,03-5,001839,8-3,0.07634586374699862,DAVIDSON,037
47037-3-6,3-6,18,03-6,001814,3-4,1.0,DAVIDSON,037
47037-3-7,3-7,19,03-7,001840,8-4,0.9505777950454093,DAVIDSON,037
47037-3-7,3-7,19,03-7,001839,8-3,0.04942220495459064,DAVIDSON,037
47037-3-8,3-8,20,03-8,001815,3-5,0.49279916739458807,DAVIDSON,037
47037-3-8,3-8,20,03-8,001814,3-4,0.4250809572159954,DAVIDSON,037
47037-3-8,3-8,20,03-8,001807,2-2,0.08211987538941655,DAVIDSON,037
47037-30-1,30-1,151,30-1,001937,30-2,0.6240528029665774,DAVIDSON,037
47037-30-1,30-1,151,30-1,001936,30-1,0.37594719703342255,DAVIDSON,037
47037-30-2,30-2,152,30-2,001922,26-1,0.7407355174079671,DAVIDSON,037
47037-30-2,30-2,152,30-2,001936,30-1,0.19133958276448723,DAVIDSON,037
47037-30-2,30-2,152,30-2,001937,30-2,0.0679248998275456,DAVIDSON,037
47037-30-3,30-3,153,30-3,001922,26-1,0.46876028158778493,DAVIDSON,037
47037-30-3,30-3,153,30-3,001924,26-3,0.3059869147981085,DAVIDSON,037
47037-30-3,30-3,153,30-3,001875,16-3,0.16111764472789514,DAVIDSON,037
47037-30-3,30-3,153,30-3,001937,30-2,0.0641351588862114,DAVIDSON,037
47037-31-1,31-1,154,31-1,001941,31-2,1.0,DAVIDSON,037
47037-31-2,31-2,155,31-2,001942,31-3,1.0,DAVIDSON,037
47037-31-3,31-3,156,31-3,001943,31-4,0.9577879791079833,DAVIDSON,037
47037-31-3,31-3,156,31-3,001942,31-3,0.042212020892016706,DAVIDSON,037
47037-31-4,31-4,157,31-4,001941,31-2,0.869441132731416,DAVIDSON,037
47037-31-4,31-4,157,31-4,001926,27-1,0.130558867268584,DAVIDSON,037
47037-32-1,32-1,158,32-1,001950,33-3,0.9015043773387563,DAVIDSON,037
47037-32-1,32-1,158,32-1,001947,32-4,0.09849562266124373,DAVIDSON,037
47037-32-2,32-2,159,32-2,001945,32-2,0.6283473367635632,DAVIDSON,037
47037-32-2,32-2,159,32-2,001946,32-3,0.3502615015659315,DAVIDSON,037
47037-32-2,32-2,159,32-2,001947,32-4,0.021391161670505282,DAVIDSON,037
47037-32-3,32-3,160,32-3,001944,32-1,0.5988137523703592,DAVIDSON,037
47037-32-3,32-3,160,32-3,001947,32-4,0.4011862476296409,DAVIDSON,037
47037-32-4,32-4,161,32-4,001944,32-1,0.7948222754606457,DAVIDSON,037
47037-32-4,32-4,161,32-4,001930,28-2,0.20517772453935437,DAVIDSON,037
47037-33-1,33-1,162,33-1,001943,31-4,0.5017786633399378,DAVIDSON,037
47037-33-1,33-1,162,33-1,001951,33-4,0.4982213366600623,DAVIDSON,037
47037-33-2,33-2,163,33-2,001951,33-4,0.5607109239305603,DAVIDSON,037
47037-33-2,33-2,163,33-2,001943,31-4,0.2374950762743275,DAVIDSON,037
47037-33-2,33-2,163,33-2,001946,32-3,0.20179399979511226,DAVIDSON,037
47037-33-3,33-3,164,33-3,001946,32-3,1.0,DAVIDSON,037
47037-33-4,33-4,165,33-4,001946,32-3,0.8797814533150687,DAVIDSON,037
47037-33-4,33-4,165,33-4,001940,31-1,0.12021854668493134,DAVIDSON,037
47037-33-5,33-5,166,33-5,001940,31-1,1.0,DAVIDSON,037
47037-33-6,33-6,167,33-6,001939,30-4,0.7850445765183157,DAVIDSON,037
47037-33-6,33-6,167,33-6,001940,31-1,0.21495542348168423,DAVIDSON,037
47037-34-1,34-1,168,34-1,001955,34-3,1.0,DAVIDSON,037
47037-34-2,34-2,169,34-2,001954,34-2,0.5210373368389701,DAVIDSON,037
47037-34-2,34-2,169,34-2,001956,34-4,0.46971692099772133,DAVIDSON,037
47037-34-2,34-2,169,34-2,001909,23-3,0.009245742163308595,DAVIDSON,037
47037-34-3,34-3,170,34-3,001956,34-4,0.9457580619573384,DAVIDSON,037
47037-34-3,34-3,170,34-3,001906,22-4,0.05424193804266157,DAVIDSON,037
47037-34-4,34-4,171,34-4,001918,25-1,0.5934879593888602,DAVIDSON,037
47037-34-4,34-4,171,34-4,001953,34-1,0.4065120406111398,DAVIDSON,037
47037-34-5,34-5,172,34-5,001953,34-1,0.5760035837209376,DAVIDSON,037
