scope,contest_type,year,district,dem_votes,rep_votes,other_votes,dem_candidate,rep_candidate
state_senate,president,2016,15,17253,57636,2829,"Hillary Clinton","Donald J. Trump"
state_senate,president,2016,16,17775,54694,2584,"Hillary Clinton","Donald J. Trump"
state_senate,president,2016,17,24949,46391,4163,"Hillary Clinton","Donald J. Trump"
state_senate,president,2016,18,19239,52597,3346,"Hillary Clinton","Donald J. Trump"
state_senate,president,2016,19,40222,9189,2147,"Hillary Clinton","Donald J. Trump"
state_senate,president,2016,20,62798,56013,8029,"Hillary Clinton","Donald J. Trump"
state_senate,president,2016,21,30841,16304,4239,"Hillary Clinton","Donald J. Trump"
state_senate,president,2016,22,21723,32319,3578,"Hillary Clinton","Donald J. Trump"
state_senate,president,2016,23,19117,54453,3132,"Hillary Clinton","Donald J. Trump"
state_senate,president,2016,24,19409,60347,2348,"Hillary Clinton","Donald J. Trump"
state_senate,president,2016,25,23436,50749,2302,"Hillary Clinton","Donald J. Trump"
state_senate,president,2016,26,22024,59373,2121,"Hillary Clinton","Donald J. Trump"
state_senate,president,2016,27,26490,57100,5811,"Hillary Clinton","Donald J. Trump"
state_senate,president,2016,28,21055,54926,3472,"Hillary Clinton","Donald J. Trump"
state_senate,president,2016,29,46730,7711,1436,"Hillary Clinton","Donald J. Trump"
state_senate,president,2016,30,43914,17157,2215,"Hillary Clinton","Donald J. Trump"
state_senate,president,2016,31,26941,47542,3904,"Hillary Clinton","Donald J. Trump"
state_senate,president,2016,32,44550,72547,4260,"Hillary Clinton","Donald J. Trump"
state_senate,president,2016,33,42433,6401,1211,"Hillary Clinton","Donald J. Trump"
state_senate,president,2012,1,16481,51008,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,2,19472,53021,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,3,20896,53947,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,4,20670,59014,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,5,22857,49773,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,6,28436,50641,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,7,24791,47741,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,8,17405,57976,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,9,16519,47286,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,10,39861,51711,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,11,27509,42010,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,12,20366,52734,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,13,12796,25209,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,14,31770,51290,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,15,22228,51230,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,16,23649,48671,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,17,24846,44577,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,18,20370,49104,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,19,42996,9812,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,20,59109,67761,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,21,26751,19316,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,22,24885,30699,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,23,25134,48637,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,24,27244,55015,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,25,29733,49281,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,26,29068,55926,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,27,22519,62427,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,28,24590,45929,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,29,57984,9088,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,30,57180,22603,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,31,22723,54045,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,32,49970,74117,0,"Barack Obama","Mitt Romney"
state_senate,president,2012,33,48234,7937,0,"Barack Obama","Mitt Romney"
state_senate,president,2008,1,18915,51101,1351,"Barack Obama","John McCain"
state_senate,president,2008,2,21311,49182,1431,"Barack Obama","John McCain"
state_senate,president,2008,3,23264,52593,1485,"Barack Obama","John McCain"
state_senate,president,2008,4,24210,59381,1446,"Barack Obama","John McCain"
state_senate,president,2008,5,26335,49273,1417,"Barack Obama","John McCain"
state_senate,president,2008,6,33285,51039,1484,"Barack Obama","John McCain"
state_senate,president,2008,7,28056,47770,1181,"Barack Obama","John McCain"
state_senate,president,2008,8,22029,58362,1663,"Barack Obama","John McCain"
state_senate,president,2008,9,19388,47144,1448,"Barack Obama","John McCain"
state_senate,president,2008,10,41437,51577,1577,"Barack Obama","John McCain"
state_senate,president,2008,11,30737,42888,962,"Barack Obama","John McCain"
state_senate,president,2008,12,24048,51427,1890,"Barack Obama","John McCain"
state_senate,president,2008,13,12962,22848,538,"Barack Obama","John McCain"
state_senate,president,2008,14,36454,51199,1652,"Barack Obama","John McCain"
state_senate,president,2008,15,26939,48456,1728,"Barack Obama","John McCain"
state_senate,president,2008,16,27598,47951,1900,"Barack Obama","John McCain"
state_senate,president,2008,17,27769,45255,1067,"Barack Obama","John McCain"
state_senate,president,2008,18,23059,46826,1021,"Barack Obama","John McCain"
state_senate,president,2008,19,45600,10639,626,"Barack Obama","John McCain"
state_senate,president,2008,20,64176,69867,1789,"Barack Obama","John McCain"
state_senate,president,2008,21,28917,18754,747,"Barack Obama","John McCain"
state_senate,president,2008,22,26094,30610,747,"Barack Obama","John McCain"
state_senate,president,2008,23,29382,48590,1667,"Barack Obama","John McCain"
state_senate,president,2008,24,31665,54167,2101,"Barack Obama","John McCain"
state_senate,president,2008,25,33343,50403,1422,"Barack Obama","John McCain"
state_senate,president,2008,26,31678,53560,1837,"Barack Obama","John McCain"
state_senate,president,2008,27,22134,51048,844,"Barack Obama","John McCain"
state_senate,president,2008,28,30109,49588,1502,"Barack Obama","John McCain"
state_senate,president,2008,29,62647,10170,558,"Barack Obama","John McCain"
state_senate,president,2008,30,60315,27955,730,"Barack Obama","John McCain"
state_senate,president,2008,31,26784,59722,680,"Barack Obama","John McCain"
state_senate,president,2008,32,41286,62615,1064,"Barack Obama","John McCain"
state_senate,president,2008,33,70798,12981,528,"Barack Obama","John McCain"
